pairID,id_tx_mat,id_tx_pat,chr_tx_mat,chr_tx_pat,start_tx_mat,start_tx_pat,end_tx_mat,end_tx_pat,Length.mat,10.TM4Aligned.sortedByCoord.out.mat,11.TM5Aligned.sortedByCoord.out.mat,12.TM6Aligned.sortedByCoord.out.mat,1.TF1Aligned.sortedByCoord.out.mat,2.TF2Aligned.sortedByCoord.out.mat,3.TF3Aligned.sortedByCoord.out.mat,4.TF4Aligned.sortedByCoord.out.mat,5.TF5Aligned.sortedByCoord.out.mat,6.TF6Aligned.sortedByCoord.out.mat,7.TM1Aligned.sortedByCoord.out.mat,8.TM2Aligned.sortedByCoord.out.mat,9.TM3Aligned.sortedByCoord.out.mat,Length.pat,10.TM4Aligned.sortedByCoord.out.pat,11.TM5Aligned.sortedByCoord.out.pat,12.TM6Aligned.sortedByCoord.out.pat,1.TF1Aligned.sortedByCoord.out.pat,2.TF2Aligned.sortedByCoord.out.pat,3.TF3Aligned.sortedByCoord.out.pat,4.TF4Aligned.sortedByCoord.out.pat,5.TF5Aligned.sortedByCoord.out.pat,6.TF6Aligned.sortedByCoord.out.pat,7.TM1Aligned.sortedByCoord.out.pat,8.TM2Aligned.sortedByCoord.out.pat,9.TM3Aligned.sortedByCoord.out.pat
TX_maternal_00016464_TX_paternal_00022059,TX_maternal_00016464,TX_paternal_00022059,X,Y,20591121,201617255,20596026,201620595,1998,232,268,262,275,505,366,218,195,741,237,389,372,1635,204,223,302,37,21,65,22,45,46,279,393,597
TX_maternal_00016476_TX_paternal_00022054,TX_maternal_00016476,TX_paternal_00022054,X,Y,21299526,200911158,21299948,200911466,195,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00016477_TX_paternal_00022053,TX_maternal_00016477,TX_paternal_00022053,X,Y,21301902,200895173,21307203,200900476,2127,76,85,88,133,176,128,150,106,193,97,149,90,1806,41,55,69,4,0,12,8,5,1,70,137,67
TX_maternal_00016478_TX_paternal_00022051,TX_maternal_00016478,TX_paternal_00022051,X,Y,21433679,200697521,21434768,200699037,453,0,0,1,4,0,0,0,0,0,0,0,0,1188,0,0,0,1,0,0,0,0,0,1,0,1
TX_maternal_00016480_TX_paternal_00022050,TX_maternal_00016480,TX_paternal_00022050,X,Y,21571894,200538910,21580920,200543275,3419,501,535,532,738,1480,976,988,560,1763,401,860,629,1883,54,65,141,15,0,12,6,27,1,78,139,93
TX_maternal_00016533_TX_paternal_00022849,TX_maternal_00016533,TX_paternal_00022849,X,Y,24965856,328756509,24967966,328757957,1184,0,0,0,0,3,0,0,0,0,0,0,0,1000,0,0,0,0,1,0,0,0,0,0,0,0
TX_maternal_00016534_TX_paternal_00022854,TX_maternal_00016534,TX_paternal_00022854,X,Y,25066150,329008462,25071058,329009491,1128,0,0,0,0,1,0,0,0,0,0,0,0,714,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00016535_TX_paternal_00022851,TX_maternal_00016535,TX_paternal_00022851,X,Y,25183028,328884837,25184822,328886633,766,0,0,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,1,0,0,0,0,0,0,0
TX_maternal_00016544_TX_paternal_00022855,TX_maternal_00016544,TX_paternal_00022855,X,Y,26052366,329197320,26055012,329200062,1128,116,196,184,317,278,235,261,244,183,200,390,132,1225,97,152,209,86,47,74,48,69,76,198,183,190
TX_maternal_00016547_TX_paternal_00022862,TX_maternal_00016547,TX_paternal_00022862,X,Y,26234042,329534578,26238353,329545522,2031,388,83,899,424,729,359,731,465,1624,275,597,235,2040,84,28,205,49,84,16,46,69,245,206,104,76
TX_maternal_00016548_TX_paternal_00022863,TX_maternal_00016548,TX_paternal_00022863,X,Y,26392517,329721796,26394601,329723826,664,299,174,353,399,475,584,896,861,522,145,655,522,532,538,408,617,62,78,101,117,11,232,390,959,900
TX_maternal_00016552_TX_paternal_00022871,TX_maternal_00016552,TX_paternal_00022871,X,Y,26480452,329970914,26484078,329979697,1921,40,20,23,133,171,92,122,130,172,280,137,73,1812,51,80,80,4,54,3,37,22,17,253,217,52
TX_maternal_00016554_TX_paternal_00022872,TX_maternal_00016554,TX_paternal_00022872,X,Y,26497938,329997356,26502126,329999951,943,0,0,2,1,0,5,10,6,0,2,1,91,639,0,0,0,0,0,0,0,0,0,0,0,1
TX_maternal_00016557_TX_paternal_00022878,TX_maternal_00016557,TX_paternal_00022878,X,Y,26823067,330313472,26826135,330328430,1059,92,0,329,15,3,21,2,7,35,0,148,24,900,22,1,77,2,0,1,0,0,12,0,0,16
TX_maternal_00016558_TX_paternal_00022880,TX_maternal_00016558,TX_paternal_00022880,X,Y,26858283,330467744,26861402,330470798,1651,5,3,6,5,32,7,26,9,5,2,40,0,1651,22,7,8,4,7,11,10,6,12,11,43,29
TX_maternal_00016559_TX_paternal_00022881,TX_maternal_00016559,TX_paternal_00022881,X,Y,26861585,330470835,26867685,330496645,2047,20,117,15,42,45,127,112,34,80,47,51,121,1806,0,1,0,0,0,1,1,0,1,0,1,0
TX_maternal_00016563_TX_paternal_00022888,TX_maternal_00016563,TX_paternal_00022888,X,Y,26959998,330783344,26960798,330783950,306,0,0,0,1,0,0,0,0,0,0,0,0,344,0,0,0,0,0,0,0,0,3,0,0,0
TX_maternal_00016564_TX_paternal_00022889,TX_maternal_00016564,TX_paternal_00022889,X,Y,26964264,330786714,26966706,330788387,777,43,95,86,76,109,150,149,143,54,68,189,78,802,55,84,63,5,18,34,55,16,27,64,108,59
TX_maternal_00016565_TX_paternal_00022897,TX_maternal_00016565,TX_paternal_00022897,X,Y,26966880,330862023,26969728,330864790,558,5,3,32,50,27,48,48,80,7,12,53,21,648,8,18,15,0,3,1,1,0,1,23,45,28
TX_maternal_00016566_TX_paternal_00022901,TX_maternal_00016566,TX_paternal_00022901,X,Y,26970952,330884388,26987760,330887880,7235,64,18,20,9,162,106,20,74,102,74,277,8,2211,92,93,304,0,1,28,14,38,1,36,175,120
TX_maternal_00016567_TX_paternal_00022902,TX_maternal_00016567,TX_paternal_00022902,X,Y,27067263,330954759,27074234,330959127,1202,76,81,70,72,294,126,130,67,123,88,158,77,1073,105,162,162,40,21,39,50,28,34,120,209,121
TX_maternal_00016568_TX_paternal_00022904,TX_maternal_00016568,TX_paternal_00022904,X,Y,27110897,331004134,27115778,331016706,1167,1,9,19,13,17,78,56,49,5,0,42,12,1124,40,51,27,0,11,2,42,4,12,25,37,18
TX_maternal_00016569_TX_paternal_00022905,TX_maternal_00016569,TX_paternal_00022905,X,Y,27211453,331161426,27214260,331164235,1335,10,15,43,53,23,57,25,88,18,8,45,33,1338,32,48,29,12,11,2,21,14,40,30,45,19
TX_maternal_00016593_TX_paternal_00023705,TX_maternal_00016593,TX_paternal_00023705,X,Y,28581526,447440246,28582967,447441694,972,9,0,29,12,15,15,0,8,10,19,16,19,978,2,0,5,4,0,3,0,0,1,0,6,0
TX_maternal_00016595_TX_paternal_00023707,TX_maternal_00016595,TX_paternal_00023707,X,Y,28685923,447514724,28686929,447515477,533,1,0,0,5,2,4,0,9,1,2,6,1,672,1,1,0,2,2,2,1,4,0,4,17,7
TX_maternal_00016596_TX_paternal_00023708,TX_maternal_00016596,TX_paternal_00023708,X,Y,28692606,447515922,28693431,447516747,730,15,21,12,17,75,46,27,86,16,66,64,20,730,64,35,27,7,9,9,12,25,5,42,76,55
TX_maternal_00016597_TX_paternal_00023710,TX_maternal_00016597,TX_paternal_00023710,X,Y,28712492,447553510,28718703,447563595,3655,1,0,0,0,1,1,0,0,3,7,8,0,4531,3,0,4,0,4,0,1,1,3,9,11,1
TX_maternal_00016599_TX_paternal_00023711,TX_maternal_00016599,TX_paternal_00023711,X,Y,28733890,447653044,28743585,447659516,1362,5,65,74,64,45,0,87,38,1,75,88,0,1626,172,331,298,61,27,2,58,40,1,417,61,227
TX_maternal_00016600_TX_paternal_00023712,TX_maternal_00016600,TX_paternal_00023712,X,Y,28744900,447660869,28745725,447661694,578,0,0,34,23,1,0,0,0,0,0,3,0,608,0,0,6,4,0,0,1,0,0,0,1,0
TX_maternal_00016601_TX_paternal_00023713,TX_maternal_00016601,TX_paternal_00023713,X,Y,28759306,447682008,28763398,447685590,1922,51,96,145,281,172,302,306,286,141,414,310,131,1653,421,228,234,94,324,33,69,34,668,670,318,251
TX_maternal_00016603_TX_paternal_00023715,TX_maternal_00016603,TX_paternal_00023715,X,Y,28810444,447845780,28924172,447848052,1353,398,162,290,180,439,711,169,169,1546,328,390,391,2026,317,123,421,20,21,23,17,7,42,115,240,251
TX_maternal_00016604_TX_paternal_00023717,TX_maternal_00016604,TX_paternal_00023717,X,Y,28962762,447894047,28963783,447894754,685,70,50,41,58,124,99,51,41,103,38,99,83,604,240,209,241,97,133,161,87,67,213,164,398,297
TX_maternal_00016605_TX_paternal_00023719,TX_maternal_00016605,TX_paternal_00023719,X,Y,29035922,447942034,29037495,447943604,1080,1,1,1,1,1,0,6,0,0,9,7,3,1023,0,0,0,0,0,0,0,0,0,1,0,0
TX_maternal_00016607_TX_paternal_00023720,TX_maternal_00016607,TX_paternal_00023720,X,Y,29162133,448060612,29176262,448074757,4539,264,783,684,641,613,692,1046,939,811,320,300,250,4488,876,909,665,886,828,755,337,283,485,1797,2074,1062
TX_maternal_00016608_TX_paternal_00023721,TX_maternal_00016608,TX_paternal_00023721,X,Y,29180286,448092694,29181434,448093849,663,0,0,0,0,0,0,1,1,0,0,0,0,579,0,0,1,0,0,0,2,0,0,0,2,0
TX_maternal_00016609_TX_paternal_00023729,TX_maternal_00016609,TX_paternal_00023729,X,Y,29190916,448179763,29195356,448184176,2951,90,105,127,153,221,164,139,88,252,83,185,141,2940,147,153,135,68,77,85,63,32,77,138,301,212
TX_maternal_00016610_TX_paternal_00023732,TX_maternal_00016610,TX_paternal_00023732,X,Y,29258039,448264187,29261331,448267176,1230,2,1,8,0,1,3,5,0,5,1,1,2,1210,16,13,52,4,2,4,1,9,3,14,36,44
TX_maternal_00016612_TX_paternal_00023737,TX_maternal_00016612,TX_paternal_00023737,X,Y,29293205,448384622,29294577,448386708,242,0,0,0,0,0,0,0,0,0,22,0,0,542,46,61,39,1,1,0,0,0,1,148,83,72
TX_maternal_00016618_TX_paternal_00023741,TX_maternal_00016618,TX_paternal_00023741,X,Y,29773761,448856378,29775862,448858443,555,0,0,0,0,0,0,0,0,0,0,0,0,519,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00016619_TX_paternal_00023742,TX_maternal_00016619,TX_paternal_00023742,X,Y,29796471,448884118,29797490,448884878,734,0,0,0,0,0,0,0,0,0,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00016621_TX_paternal_00023743,TX_maternal_00016621,TX_paternal_00023743,X,Y,29844809,448926839,29846175,448929170,273,2,22,12,11,23,14,40,37,16,7,21,21,528,158,168,218,5,24,4,13,4,48,262,259,296
TX_maternal_00016622_TX_paternal_00023744,TX_maternal_00016622,TX_paternal_00023744,X,Y,29861635,448965134,29864828,448968299,1202,35,77,67,97,131,74,152,95,130,73,38,21,1196,100,131,94,51,65,40,9,17,53,266,148,138
TX_maternal_00016624_TX_paternal_00023748,TX_maternal_00016624,TX_paternal_00023748,X,Y,29979580,449077892,29985703,449086460,1078,0,2,9,0,8,5,4,1,6,3,0,0,441,0,1,1,0,0,0,4,0,0,0,1,2
TX_maternal_00016625_TX_paternal_00023750,TX_maternal_00016625,TX_paternal_00023750,X,Y,30024019,449121255,30031615,449128407,3064,198,228,161,307,350,260,309,255,373,274,378,252,2655,199,211,302,55,87,73,51,19,49,275,412,282
TX_maternal_00016626_TX_paternal_00024026,TX_maternal_00016626,TX_paternal_00024026,X,Y,30144239,485395763,30145870,485397897,559,0,0,0,1,1,1,1,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0,6,1,4
TX_maternal_00016628_TX_paternal_00024022,TX_maternal_00016628,TX_paternal_00024022,X,Y,30415197,485019357,30417994,485021614,1728,101,216,115,356,228,206,348,471,145,95,202,132,1695,111,212,146,17,3,7,11,9,11,114,205,76
TX_maternal_00016632_TX_paternal_00024019,TX_maternal_00016632,TX_paternal_00024019,X,Y,30710555,484652472,30713297,484655205,1245,0,0,0,0,0,0,0,0,0,0,0,0,1404,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00016634_TX_paternal_00024016,TX_maternal_00016634,TX_paternal_00024016,X,Y,30802283,484517136,30804189,484519237,1466,1,4,3,4,3,3,4,7,2,4,4,1,1473,0,0,2,0,0,0,0,0,0,2,2,0
TX_maternal_00016635_TX_paternal_00024015,TX_maternal_00016635,TX_paternal_00024015,X,Y,30830745,484463299,30832950,484465477,1529,2,0,1,0,2,0,3,1,2,0,5,1,1507,65,67,90,1,0,0,1,0,1,44,141,76
TX_maternal_00016636_TX_paternal_00024014,TX_maternal_00016636,TX_paternal_00024014,X,Y,30834717,484459322,30836902,484461531,552,96,206,107,128,155,204,82,206,327,61,847,115,612,142,99,294,259,128,202,80,62,266,137,922,124
TX_maternal_00016637_TX_paternal_00024011,TX_maternal_00016637,TX_paternal_00024011,X,Y,30850918,484427822,30853409,484430313,1350,66,152,43,194,161,57,187,119,170,75,155,55,1323,241,176,448,35,148,184,92,68,157,321,624,382
TX_maternal_00016639_TX_paternal_00024008,TX_maternal_00016639,TX_paternal_00024008,X,Y,31119564,484205214,31121648,484207239,2009,91,45,19,58,139,9,53,25,119,17,114,19,1926,11,6,1,0,9,3,8,3,11,0,14,3
TX_maternal_00016640_TX_paternal_00024006,TX_maternal_00016640,TX_paternal_00024006,X,Y,31215995,484103803,31218143,484108193,1230,35,69,31,108,155,67,68,57,53,46,138,28,1417,19,5,1,1,15,37,19,5,35,20,6,13
TX_maternal_00016643_TX_paternal_00024002,TX_maternal_00016643,TX_paternal_00024002,X,Y,31498887,483694864,31501438,483696284,825,0,0,0,0,0,0,0,0,0,0,0,0,687,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00016645_TX_paternal_00023999,TX_maternal_00016645,TX_paternal_00023999,X,Y,31598044,483603125,31599495,483605278,615,0,0,0,0,0,0,0,0,0,0,0,2,615,5,0,0,0,0,0,0,2,0,1,2,0
TX_maternal_00016648_TX_paternal_00022830,TX_maternal_00016648,TX_paternal_00022830,X,Y,31653784,326240320,31663225,326249749,3623,5,3,6,5,15,7,22,5,45,6,34,12,3615,24,11,13,7,4,4,3,3,35,18,57,34
TX_maternal_00016649_TX_paternal_00022824,TX_maternal_00016649,TX_paternal_00022824,X,Y,31737518,326079065,31738078,326088928,231,0,0,0,0,0,0,0,0,0,0,0,0,2221,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00016650_TX_paternal_00022812,TX_maternal_00016650,TX_paternal_00022812,X,Y,32137171,325172962,32138768,325175348,1259,4,16,17,17,14,33,13,11,22,13,19,10,1134,33,32,71,18,23,32,11,21,49,48,118,86
TX_maternal_00016651_TX_paternal_00022813,TX_maternal_00016651,TX_paternal_00022813,X,Y,32142657,325176559,32148469,325180445,2311,0,3,0,1,0,1,2,0,1,0,6,0,2060,0,1,6,0,0,1,0,0,0,0,7,1
TX_maternal_00016657_TX_paternal_00022808,TX_maternal_00016657,TX_paternal_00022808,X,Y,32651006,324386160,32654036,324389182,1905,0,0,0,0,0,0,0,1,0,0,0,0,1905,0,0,0,0,0,0,0,0,0,0,2,0
TX_maternal_00016662_TX_paternal_00022801,TX_maternal_00016662,TX_paternal_00022801,X,Y,33378196,323431077,33381464,323438214,1050,0,0,0,0,0,0,0,0,0,0,0,0,1022,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00016673_TX_paternal_00022798,TX_maternal_00016673,TX_paternal_00022798,X,Y,34450167,323058199,34450846,323058878,528,0,0,0,0,0,0,0,0,0,0,0,0,528,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00016674_TX_paternal_00022797,TX_maternal_00016674,TX_paternal_00022797,X,Y,34457220,323047622,34457874,323048277,453,0,0,0,0,0,0,0,0,0,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00016678_TX_paternal_00022793,TX_maternal_00016678,TX_paternal_00022793,X,Y,34882893,322584707,34892895,322591254,1868,1,5,32,29,15,33,34,22,47,7,33,25,1787,15,19,39,8,16,12,10,1,16,24,62,16
TX_maternal_00016681_TX_paternal_00022791,TX_maternal_00016681,TX_paternal_00022791,X,Y,34902887,322569164,34904132,322570451,457,0,3,6,4,7,6,8,0,6,5,0,0,462,14,13,24,6,2,4,3,0,3,38,19,14
TX_maternal_00016685_TX_paternal_00022789,TX_maternal_00016685,TX_paternal_00022789,X,Y,35097600,322555097,35100692,322557971,2262,3,0,11,6,7,9,89,446,6,17,19,7,2129,6,5,13,1,4,0,6,29,0,19,12,4
TX_maternal_00016686_TX_paternal_00022785,TX_maternal_00016686,TX_paternal_00022785,X,Y,35205260,322425423,35210773,322430923,1476,42,33,13,29,75,66,56,15,177,68,19,16,1491,154,102,107,41,39,80,63,21,101,185,45,111
TX_maternal_00016688_TX_paternal_00022784,TX_maternal_00016688,TX_paternal_00022784,X,Y,35248867,322385791,35250916,322387833,909,0,2,8,2,1,3,1,11,2,0,1,0,949,4,23,36,5,2,25,10,10,9,3,40,21
TX_maternal_00016690_TX_paternal_00022783,TX_maternal_00016690,TX_paternal_00022783,X,Y,35275070,322296409,35280765,322302124,2374,39,53,237,217,112,388,331,276,102,56,101,232,2378,428,496,407,158,385,39,213,152,323,725,986,410
TX_maternal_00016691_TX_paternal_00022781,TX_maternal_00016691,TX_paternal_00022781,X,Y,35284005,322284705,35302813,322291089,441,0,1,0,0,0,0,0,0,0,2,0,2,1342,263,270,388,0,1,0,1,0,0,319,509,319
TX_maternal_00016692_TX_paternal_00022779,TX_maternal_00016692,TX_paternal_00022779,X,Y,35418694,321703272,35423834,321706593,579,116,187,431,316,274,685,415,334,283,46,388,238,669,570,798,401,5,278,6,162,4,518,193,863,354
TX_maternal_00016694_TX_paternal_00022778,TX_maternal_00016694,TX_paternal_00022778,X,Y,35553389,321471110,35555621,321473330,1620,22,5,7,5,102,3,6,14,10,92,76,13,1620,66,16,25,20,187,11,10,25,56,146,175,52
TX_maternal_00016696_TX_paternal_00022777,TX_maternal_00016696,TX_paternal_00022777,X,Y,35613540,321409971,35617845,321414702,884,60,48,44,52,70,59,51,51,63,14,24,11,738,29,31,53,18,33,25,21,11,24,49,87,60
TX_maternal_00016700_TX_paternal_00024039,TX_maternal_00016700,TX_paternal_00024039,X,Y,35979006,486106630,35983262,486110632,1382,14,16,19,26,29,17,16,16,19,12,17,12,1381,25,34,50,6,7,13,2,1,4,44,83,35
TX_maternal_00016701_TX_paternal_00024037,TX_maternal_00016701,TX_paternal_00024037,X,Y,35985831,486095384,35994502,486104054,3766,130,184,108,351,440,270,364,226,269,102,216,132,3766,305,266,330,95,93,94,146,90,142,502,359,375
TX_maternal_00016705_TX_paternal_00022744,TX_maternal_00016705,TX_paternal_00022744,X,Y,36527150,319406507,36529659,319410717,775,30,73,45,116,180,146,176,131,89,44,136,63,873,65,70,86,2,3,1,1,1,2,109,125,75
TX_maternal_00016706_TX_paternal_00022746,TX_maternal_00016706,TX_paternal_00022746,X,Y,36586229,319475899,36591196,319479512,2490,28,35,78,46,27,60,19,50,72,16,60,78,2537,36,75,174,0,7,1,4,1,0,24,220,95
TX_maternal_00016707_TX_paternal_00022748,TX_maternal_00016707,TX_paternal_00022748,X,Y,36940733,319953453,36944063,319956774,1271,18,44,46,59,84,71,58,68,66,46,54,29,1271,100,105,102,4,10,3,4,5,9,111,133,91
TX_maternal_00016709_TX_paternal_00022749,TX_maternal_00016709,TX_paternal_00022749,X,Y,36963298,320029583,36966308,320032711,1227,147,88,50,44,257,76,130,41,227,88,230,53,1227,186,158,356,155,33,234,152,122,39,419,286,373
TX_maternal_00016714_TX_paternal_00022755,TX_maternal_00016714,TX_paternal_00022755,X,Y,37178837,320306244,37183849,320307825,927,0,3,1,2,0,3,3,1,2,0,6,3,717,0,0,0,0,0,0,0,0,0,0,0,0
TX_maternal_00016717_TX_paternal_00022758,TX_maternal_00016717,TX_paternal_00022758,X,Y,37295329,320435886,37304354,320445294,2244,158,187,285,586,479,348,610,395,502,192,261,172,2229,177,176,228,24,12,21,31,6,36,221,303,161
TX_maternal_00016718_TX_paternal_00022759,TX_maternal_00016718,TX_paternal_00022759,X,Y,37332217,320461192,37336537,320470469,1461,175,148,255,441,447,250,216,241,350,394,342,264,1179,12,19,2,1,10,2,30,3,3,12,15,5
TX_maternal_00016720_TX_paternal_00022762,TX_maternal_00016720,TX_paternal_00022762,X,Y,37376027,320535595,37384571,320545314,1179,0,18,60,48,30,42,56,39,27,41,35,47,637,22,44,40,23,6,9,33,2,2,27,55,50
TX_maternal_00016724_TX_paternal_00022765,TX_maternal_00016724,TX_paternal_00022765,X,Y,37591582,320899719,37595805,320903884,1853,36,83,115,132,160,84,126,140,124,219,120,39,1530,83,97,99,20,22,11,54,20,46,110,183,50
TX_maternal_00016725_TX_paternal_00022766,TX_maternal_00016725,TX_paternal_00022766,X,Y,37642773,320924280,37644844,320928054,330,26,1,7,5,16,10,7,12,26,3,26,5,615,62,169,164,61,93,49,151,73,27,344,293,133
TX_maternal_00016726_TX_paternal_00022767,TX_maternal_00016726,TX_paternal_00022767,X,Y,37645459,320931922,37648490,320939249,1608,34,38,34,120,38,68,11,31,33,19,110,12,2151,68,85,84,23,14,20,17,44,12,46,175,33
TX_maternal_00016730_TX_paternal_00022770,TX_maternal_00016730,TX_paternal_00022770,X,Y,37738417,321014887,37742583,321022222,785,1,1,0,1,2,4,3,6,2,34,3,4,983,1,9,0,9,15,7,10,4,0,17,18,2
TX_maternal_00016733_TX_paternal_00022774,TX_maternal_00016733,TX_paternal_00022774,X,Y,37846747,321156952,37851415,321161688,1155,8,106,0,128,127,8,237,92,8,168,226,7,1116,825,857,927,285,826,829,209,290,1001,469,1545,797
TX_maternal_00016734_TX_paternal_00024045,TX_maternal_00016734,TX_paternal_00024045,X,Y,37901065,486283291,37908432,486288612,2157,68,82,133,154,342,203,168,128,191,134,226,148,1551,125,137,153,66,66,45,102,77,84,142,231,151
