Geneid	Chr	Start	End	Strand	Length	10.TM4Aligned.sortedByCoord.out	11.TM5Aligned.sortedByCoord.out	12.TM6Aligned.sortedByCoord.out	1.TF1Aligned.sortedByCoord.out	2.TF2Aligned.sortedByCoord.out	3.TF3Aligned.sortedByCoord.out	4.TF4Aligned.sortedByCoord.out	5.TF5Aligned.sortedByCoord.out	6.TF6Aligned.sortedByCoord.out	7.TM1Aligned.sortedByCoord.out	8.TM2Aligned.sortedByCoord.out	9.TM3Aligned.sortedByCoord.out
TX_00008166	A1	1127056	1127454	+	399	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008165	A1	1138108	1141229	+	3122	509	1069	707	517	674	824	835	636	1749	2908	1427	2428
TX_00008164	A1	1146389	1148292	-	1904	1860	2811	2207	1653	2100	1659	2499	1530	1959	1905	5480	2665
TX_00008161	A1	1164879	1166534	-	1656	3	6	9	2	8	4	1	4	8	30	17	4
TX_00008160	A1	1177969	1182236	-	4268	541	303	458	329	587	385	493	231	653	1405	787	650
TX_00008159	A1	1203454	1204973	+	1520	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008158	A1	1216975	1220121	+	3147	125	104	185	104	100	102	65	61	147	74	212	152
TX_00008157	A1	1220414	1222892	-	2479	133	117	176	77	91	69	83	59	109	153	202	125
TX_00008156	A1	1270262	1271849	+	1588	49	104	89	100	142	51	246	58	74	215	171	81
TX_00019365	A1	1340176	1344104	-	3929	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008155	A1	1381590	1385122	-	3533	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008153	A1	1488451	1488891	+	441	124	108	810	89	41	106	32	53	226	28	359	355
TX_00008152	A1	1495482	1505264	-	9783	250	271	268	195	253	194	197	127	237	291	446	227
TX_00008151	A1	1506667	1512709	-	6043	881	1089	1551	851	1198	824	747	673	1531	1212	2164	1953
TX_00008150	A1	1517756	1519906	+	2151	257	379	527	363	359	297	490	468	307	452	824	318
TX_00008149	A1	1538255	1540722	+	2468	0	0	0	1	0	0	0	0	2	0	0	1
TX_00008148	A1	1544652	1546427	-	1776	15246	10069	19110	11054	12072	15022	12553	12477	16896	4703	17388	17766
TX_00008147	A1	1577772	1580243	+	2472	0	2	0	5	0	1	0	2	2	0	0	0
TX_00008146	A1	1581990	1584506	-	2517	1	1	3	0	0	0	0	0	0	0	0	0
TX_00008145	A1	1585171	1586848	-	1678	3	2	1	3	0	0	0	0	6	0	1	0
TX_00008144	A1	1591080	1592493	-	1414	0	0	1	0	0	0	0	0	0	0	0	0
TX_00008143	A1	1598691	1601621	-	2931	1	0	0	4	4	2	0	0	4	6	2	1
TX_00008142	A1	1602935	1605312	-	2378	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008141	A1	1607302	1610757	+	3456	46	68	82	26	61	29	44	34	49	90	113	40
TX_00008140	A1	1611559	1613034	-	1476	74405	61752	112486	49221	79482	75633	55741	51597	78629	30972	121073	88830
TX_00008139	A1	1619544	1621296	-	1753	18	0	52	0	17	2	1	0	146	36	6	41
TX_00008137	A1	1626859	1627358	-	500	968	1043	1075	605	635	784	349	420	1241	254	1126	832
TX_00008136	A1	1627702	1632558	+	4857	209	195	389	140	153	156	187	156	183	188	336	209
TX_00008135	A1	1645703	1647792	-	2090	280	193	78	221	249	319	251	17	375	376	565	87
TX_00008134	A1	1693335	1694847	+	1513	6	50	13	12	14	10	35	35	2	21	14	12
TX_00008133	A1	1705042	1709217	-	4176	9	6	10	5	10	5	3	4	26	0	31	11
TX_00008132	A1	1712083	1715055	-	2973	164	215	187	199	181	148	341	220	150	441	336	298
TX_00008131	A1	1717969	1725296	+	7328	16003	15257	14847	11354	15660	19028	14662	15874	15005	7099	17982	17612
TX_00008130	A1	1726074	1726581	+	508	0	0	0	0	1	0	1	0	1	2	2	3
TX_00008129	A1	1730817	1733994	+	3178	182	188	285	117	128	184	67	67	515	224	472	523
TX_00008128	A1	1736907	1740723	+	3817	2514	2164	3908	4088	2780	2626	153	73	3557	1888	2875	1450
TX_00008126	A1	1741963	1756667	-	14705	69	220	264	77	111	90	45	126	200	90	181	231
TX_00008127	A1	1743780	1752062	+	8283	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008125	A1	1775588	1783081	-	7494	1551	1577	2859	1233	1316	1025	1380	692	1456	1911	2943	1713
TX_00008124	A1	1793569	1798067	-	4499	137	417	487	131	100	123	76	102	477	172	389	277
TX_00008123	A1	1806118	1807746	-	1629	24	4	17	10	3	11	2	1	4	4	58	10
TX_00008122	A1	1809012	1810756	+	1745	120	38	46	37	338	23	19	37	94	288	336	73
TX_00008089	A1	1812839	1817887	+	5049	87	60	105	13	59	52	46	20	71	41	103	101
TX_00008120	A1	1821439	1823853	-	2415	0	4	41	1	21	27	10	7	2	0	31	11
TX_00008114	A1	1823428	1824017	+	590	0	0	0	0	2	0	5	1	0	0	0	0
TX_00007665	A1	1859775	1862285	+	2511	1	0	0	1	0	2	0	0	0	0	0	0
TX_00007663	A1	1873443	1875922	-	2480	0	4	3	2	7	54	9	1	1	3	24	7
TX_00008082	A1	1875479	1885011	+	9533	1	0	0	1	0	1	0	0	0	0	0	0
TX_00008084	A1	1877075	1885074	-	8000	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008105	A1	1894272	1896765	-	2494	0	2	0	0	0	0	0	0	0	0	1	0
TX_00008096	A1	1941200	1943098	-	1899	2	4	70	0	6	10	6	2	1	2	10	13
TX_00008085	A1	1942604	1943395	+	792	1	5	2	0	2	5	2	0	0	0	8	3
TX_00008118	A1	1950831	1953350	-	2520	0	3	0	0	2	14	2	0	0	0	2	0
TX_00008102	A1	1970685	1971840	+	1156	0	0	0	0	0	0	1	0	0	0	0	0
TX_00007664	A1	1979102	1981516	-	2415	2	12	21	1	27	11	26	6	0	3	28	16
TX_00008087	A1	1981100	1981728	+	629	0	0	3	0	4	0	1	0	0	0	6	1
TX_00008098	A1	1986464	1996838	-	10375	16	31	15	0	22	48	22	11	5	3	66	6
TX_00008097	A1	1988462	1990353	-	1892	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008090	A1	1989844	1990516	+	673	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008088	A1	1996698	1997347	+	650	0	2	0	0	9	7	3	0	0	0	10	3
TX_00008113	A1	2009381	2011741	-	2361	3	8	13	6	6	21	22	4	1	5	38	17
TX_00008092	A1	2019147	2020438	+	1292	1	0	3	0	1	1	0	1	1	1	0	0
TX_00008104	A1	2037580	2040022	-	2443	0	17	19	1	50	11	23	4	3	11	85	26
TX_00024423	A1	2063677	2068479	+	4803	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008091	A1	2068976	2078253	+	9278	0	0	2	4	2	0	1	0	14	0	0	0
TX_00008116	A1	2124087	2125850	-	1764	2	7	5	1	43	16	20	5	0	1	69	11
TX_00008081	A1	2143465	2146633	-	3169	0	0	0	0	0	0	1	0	0	0	0	0
TX_00008079	A1	2153489	2156228	+	2740	1210	1527	1649	931	983	751	932	643	1326	700	2844	1049
TX_00008078	A1	2162968	2166289	+	3322	188	315	244	208	210	183	240	139	165	258	461	234
TX_00008077	A1	2166699	2169093	-	2395	167	155	240	156	229	207	192	128	215	183	379	156
TX_00008076	A1	2175795	2178833	+	3039	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008075	A1	2182466	2185272	+	2807	11	12	8	9	8	8	7	15	20	20	52	13
TX_00008074	A1	2198498	2201694	-	3197	55	67	95	51	35	49	24	20	45	67	94	89
TX_00008073	A1	2203105	2207062	+	3958	2094	1530	2871	1264	1686	1574	1242	1171	1888	1094	3607	2865
TX_00008072	A1	2208268	2216074	-	7807	432	746	643	533	594	421	319	301	530	600	967	391
TX_00008071	A1	2221551	2225865	-	4315	0	1	0	0	0	3	0	0	0	0	2	0
TX_00008070	A1	2246598	2248514	-	1917	116	113	150	87	106	72	81	60	141	121	237	207
TX_00008069	A1	2255779	2258677	-	2899	316	304	578	231	269	245	262	229	367	232	705	359
TX_00008068	A1	2266196	2270756	-	4561	1024	1660	1174	408	2273	983	959	363	740	187	1482	1000
TX_00008067	A1	2279418	2281221	+	1804	68	13	90	60	89	54	14	7	100	90	84	121
TX_00008066	A1	2281620	2287350	-	5731	165	182	222	106	162	150	124	86	148	244	337	148
TX_00008065	A1	2289137	2290841	+	1705	48	63	73	35	59	50	57	39	47	61	97	41
TX_00008064	A1	2298401	2301370	+	2970	1301	1083	1693	900	1002	1222	694	524	897	615	2318	1081
TX_00008063	A1	2316149	2320844	+	4696	871	1874	1305	829	852	858	747	1016	983	1003	1455	844
TX_00008062	A1	2334960	2337565	+	2606	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008061	A1	2339034	2342767	-	3734	192	262	389	184	227	205	194	138	244	228	446	313
TX_00008060	A1	2346556	2365666	+	19111	2	0	9	0	1	6	0	0	2	0	0	9
TX_00008056	A1	2364576	2365666	+	1091	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008059	A1	2368115	2369767	+	1653	1	0	0	0	0	0	0	0	0	0	0	0
TX_00004747	A1	2370475	2375953	-	5479	0	0	0	0	0	1	0	0	1	0	0	0
TX_00008055	A1	2379614	2383137	-	3524	0	0	0	0	0	0	1	2	5	1	2	1
TX_00008051	A1	2406988	2409334	-	2347	27	38	61	17	25	21	17	11	60	3	55	39
TX_00001613	A1	2432944	2436398	-	3455	1	0	0	0	0	0	0	0	0	0	0	0
TX_00008050	A1	2509743	2511462	-	1720	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008049	A1	2529767	2535015	-	5249	0	0	0	0	1	0	2	0	0	0	0	0
TX_00008048	A1	2624310	2628840	+	4531	487	580	552	448	796	423	1128	308	594	612	1366	560
TX_00008047	A1	2632239	2635399	-	3161	408	651	446	356	735	459	382	194	452	463	1148	583
TX_00008046	A1	2655442	2656735	+	1294	73	172	44	66	94	96	204	131	87	48	175	115
TX_00008045	A1	2671962	2674455	-	2494	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008044	A1	2683706	2686533	-	2828	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008043	A1	2689263	2693358	-	4096	113	125	156	106	145	135	165	99	198	204	238	163
TX_00008042	A1	2710228	2714827	+	4600	394	506	455	364	531	431	466	323	492	615	854	403
TX_00008041	A1	2715859	2720989	-	5131	83	63	125	58	68	50	47	21	96	62	136	75
TX_00008040	A1	2735119	2735426	-	308	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008039	A1	2746307	2750514	+	4208	2	37	132	54	8	25	48	40	11	48	76	24
TX_00008036	A1	2851056	2853779	+	2724	0	3	26	12	14	9	2	3	8	25	14	4
TX_00008035	A1	2858810	2860780	-	1971	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008034	A1	2869771	2872516	+	2746	104	108	105	37	99	53	76	41	95	207	170	171
TX_00008033	A1	2873061	2877004	+	3944	362	301	309	166	307	206	180	116	288	247	605	402
TX_00008031	A1	2877690	2885434	-	7745	1111	1191	1696	934	1308	1065	843	759	1425	1104	2054	1200
TX_00008032	A1	2880595	2883808	+	3214	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008030	A1	2889769	2897579	+	7811	882	717	1144	692	581	610	216	383	1175	456	1588	1202
TX_00008029	A1	2905796	2907109	-	1314	554	788	786	481	890	764	425	473	761	468	940	605
TX_00008028	A1	2906820	2908861	+	2042	112	102	155	111	80	79	54	58	184	54	164	93
TX_00008027	A1	2909779	2911218	-	1440	2465	3124	3066	3195	3282	2586	2203	2436	4037	3382	3286	1720
TX_00008024	A1	2978185	2987995	+	9811	119	41	83	45	73	67	30	18	109	84	141	134
TX_00008023	A1	3007413	3010699	-	3287	361	277	290	185	284	272	89	68	418	41	572	231
TX_00008022	A1	3014089	3021678	+	7590	70	316	196	4	52	88	140	5	85	786	294	29
TX_00008021	A1	3022008	3028196	-	6189	357	381	355	331	342	306	347	234	352	498	796	423
TX_00008020	A1	3030118	3042354	+	12237	805	818	1066	937	822	786	743	628	937	1043	1601	1132
TX_00008019	A1	3042887	3046399	-	3513	37	50	57	26	36	53	42	27	72	23	92	85
TX_00008018	A1	3046758	3057834	+	11077	569	640	830	547	713	472	733	513	566	766	1351	718
TX_00008015	A1	3069239	3075407	-	6169	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008017	A1	3069239	3075407	-	6169	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008016	A1	3074065	3074456	+	392	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008014	A1	3086764	3094699	+	7936	368	378	545	296	414	348	275	131	392	359	945	468
TX_00008013	A1	3122268	3124980	+	2713	1183	1545	1115	1332	1636	2031	592	684	1286	1029	2577	1305
TX_00008011	A1	3132377	3135419	-	3043	0	2	0	0	0	0	0	1	0	0	0	0
TX_00008009	A1	3154892	3159355	-	4464	0	0	19	0	0	0	2	4	2	1	0	0
TX_00008008	A1	3176472	3178700	-	2229	5	0	13	5	0	0	0	1	0	0	10	1
TX_00008007	A1	3184660	3187480	+	2821	107	136	142	115	130	115	133	71	116	184	236	117
TX_00008006	A1	3188153	3190130	-	1978	0	1	0	0	2	0	0	0	2	0	0	0
TX_00008005	A1	3209510	3210888	-	1379	52	45	88	83	63	68	9	6	74	61	72	48
TX_00008004	A1	3212973	3215441	+	2469	62	108	159	100	98	85	96	50	73	93	172	65
TX_00008003	A1	3215843	3223805	-	7963	508	618	780	639	755	509	585	556	658	968	1216	556
TX_00008002	A1	3226271	3230553	+	4283	0	0	0	0	0	0	0	0	0	0	0	0
TX_00008001	A1	3231851	3242299	+	10449	406	587	706	462	467	390	477	330	436	553	1027	678
TX_00008000	A1	3245543	3252064	+	6522	435	735	636	583	511	369	495	408	355	566	1355	451
TX_00007999	A1	3252293	3255392	-	3100	189	176	361	180	247	235	178	150	375	233	356	273
TX_00007998	A1	3257416	3259925	+	2510	83	34	408	114	85	88	34	23	268	357	247	257
TX_00007997	A1	3258483	3260359	-	1877	13	9	5	3	55	19	8	8	10	15	37	12
TX_00027628	A1	3263528	3265932	-	2405	0	0	0	0	3	0	0	0	0	0	0	0
TX_00007995	A1	3274157	3276144	+	1988	624	466	473	328	731	142	1070	355	1623	1525	819	736
TX_00007994	A1	3276941	3278914	-	1974	280	275	370	212	268	245	182	139	292	205	504	351
TX_00007993	A1	3281921	3283809	+	1889	0	0	0	2	0	1	0	0	0	0	1	0
TX_00007992	A1	3281980	3284901	-	2922	234	298	247	136	243	127	95	106	198	412	264	203
TX_00007991	A1	3293464	3295058	-	1595	6	5	14	5	8	5	11	8	5	4	14	8
TX_00007990	A1	3302680	3303009	+	330	77	102	99	62	56	52	47	45	114	107	128	132
TX_00007989	A1	3306218	3309502	+	3285	110	85	97	116	131	115	68	42	144	173	234	146
TX_00007988	A1	3743601	3751012	-	7412	2265	2374	3105	2491	2654	2263	2216	1676	2578	3339	4620	3160
TX_00007987	A1	3755065	3767511	-	12447	360	51	80	48	30	47	24	17	61	36	70	111
TX_00007986	A1	3771625	3774082	+	2458	134	98	181	98	162	98	86	97	198	182	312	149
TX_00007985	A1	3777577	3785326	+	7750	88	89	142	78	154	113	87	54	149	105	217	172
TX_00007984	A1	3798307	3800385	+	2079	158	150	212	100	177	144	118	85	227	138	345	180
TX_00007983	A1	3818993	3822873	+	3881	8197	8210	8650	5268	13357	6048	4788	4370	5503	15275	17912	10761
TX_00007982	A1	3831770	3837591	+	5822	1	1	3	0	2	0	0	0	0	1	1	1
TX_00007981	A1	3850211	3853703	+	3493	1	21	38	10	2	23	23	6	7	12	23	4
TX_00007980	A1	3860349	3864509	-	4161	906	1033	895	852	1462	803	875	712	997	1196	2085	831
TX_00007979	A1	3873107	3877663	-	4557	793	666	1013	487	745	497	432	344	1266	730	1035	1203
TX_00007977	A1	3882446	3884963	-	2518	2813	2948	4012	3090	2692	2870	1758	1904	3058	837	3770	3073
TX_00007976	A1	3895812	3899639	-	3828	202	21	60	170	261	160	6	7	25	326	62	458
TX_00007975	A1	3917863	3919115	-	1253	1	5	15	6	27	6	1	0	12	0	105	34
TX_00007974	A1	3928814	3929159	-	346	0	0	0	0	0	0	0	0	1	0	0	0
TX_00007973	A1	3940673	3941690	+	1018	6	17	16	9	9	7	9	7	3	6	13	9
TX_00007972	A1	3953794	3956275	+	2482	1855	1508	3390	1039	1515	1895	1036	783	4127	1976	3106	4990
TX_00007971	A1	3961261	3964184	-	2924	6	16	12	5	2	7	8	7	3	1	15	4
TX_00007970	A1	3975457	3977475	-	2019	0	0	0	0	0	0	0	0	0	0	0	0
TX_00007969	A1	4042425	4047902	+	5478	570	1230	1627	724	985	1633	7361	6014	528	702	2995	1878
TX_00007967	A1	4051819	4058622	-	6804	1815	2238	2032	1691	2779	1400	1719	1293	1540	2358	3541	1784
TX_00007966	A1	4135604	4137329	+	1726	3	5	3	0	3	2	2	1	5	5	4	0
TX_00007964	A1	4149573	4152221	-	2649	194	356	290	313	262	276	172	193	345	204	554	291
TX_00007963	A1	4156838	4159964	-	3127	1215	1660	1755	1699	1199	1449	337	376	2750	800	4269	1231
TX_00007962	A1	4167400	4169213	-	1814	156	173	165	144	334	154	183	145	209	307	312	179
TX_00007961	A1	4175639	4178125	+	2487	240	252	427	245	336	212	171	106	385	187	343	365
TX_00007959	A1	4331347	4332378	-	1032	727	1598	1058	1339	2946	1118	3247	1436	687	5645	1891	605
TX_00007958	A1	4352137	4355215	-	3079	0	0	6	0	0	0	0	0	0	0	0	1
TX_00007957	A1	4386360	4388755	+	2396	7	22	13	9	2	7	3	8	4	24	15	7
TX_00007956	A1	4392802	4396082	-	3281	162	136	207	73	197	133	55	30	256	69	173	83
TX_00007955	A1	4397326	4400711	-	3386	169	226	168	103	125	149	118	95	131	215	364	145
TX_00007954	A1	4431940	4433633	-	1694	972	661	1244	464	857	701	181	202	1852	443	649	1437
TX_00007953	A1	4434698	4437512	-	2815	2	3	11	2	4	6	2	2	1	0	1	6
TX_00007952	A1	4460400	4473514	-	13115	539	505	920	504	472	458	348	343	610	527	1302	918
TX_00007950	A1	4495589	4498703	+	3115	0	0	0	0	0	0	0	0	0	0	0	0
TX_00007949	A1	4503838	4508124	+	4287	1	10	7	10	9	4	5	1	3	1	17	5
TX_00005730	A1	4541470	4542951	-	1482	0	0	0	0	0	0	0	0	0	0	0	0
TX_00001762	A1	4558186	4559080	-	895	0	0	0	0	0	0	0	0	0	0	0	0
TX_00015798	A1	4609478	4609556	-	79	0	0	0	0	0	0	0	0	0	0	1	0
TX_00007948	A1	4633812	4635906	+	2095	8	47	20	28	24	32	101	87	7	15	62	29
TX_00007947	A1	4641239	4643502	+	2264	64	32	10	42	78	13	14	23	167	41	95	10
TX_00007946	A1	4648826	4651401	-	2576	0	0	0	0	0	0	0	0	0	1	0	0
TX_00007945	A1	4656189	4657856	+	1668	72	82	113	59	77	81	87	64	85	66	167	71
TX_00007944	A1	4686641	4689411	-	2771	201	197	282	140	116	205	109	106	239	77	254	277
TX_00007943	A1	4701716	4703960	+	2245	491	541	462	529	460	536	334	476	533	225	619	421
TX_00007942	A1	4703235	4706597	-	3363	72	73	108	36	115	63	161	109	99	136	146	97
TX_00007941	A1	4707914	4709287	-	1374	0	0	0	0	0	0	0	0	0	0	0	0
TX_00007939	A1	4729842	4737174	+	7333	717	1073	1307	1070	681	1011	874	927	938	661	1369	872
TX_00007940	A1	4732997	4733429	-	433	0	0	0	0	0	0	0	0	0	0	0	0
TX_00007938	A1	4810798	4817366	+	6569	0	1	0	2	2	1	1	1	0	0	2	0
TX_00007937	A1	4828548	4832506	-	3959	0	1	0	1	0	0	1	0	0	1	0	0
TX_00007936	A1	4833849	4838662	-	4814	943	1313	1774	1408	959	1228	895	1018	1119	1508	2271	1225
TX_00007935	A1	4858153	4863876	-	5724	244	314	306	287	305	271	236	240	284	517	476	379
TX_00007934	A1	4884079	4893285	-	9207	11	2	6	19	4	13	3	0	25	72	24	20
TX_00007933	A1	4893690	4898483	+	4794	646	542	855	446	698	596	539	293	852	493	1180	929
TX_00007932	A1	4908516	4914143	-	5628	9	1	93	8	2	1	0	0	0	0	45	5
TX_00007931	A1	4940785	4941048	+	264	0	0	0	0	0	0	0	0	0	0	0	0
TX_00007930	A1	4943138	4950158	+	7021	406	527	629	469	477	251	504	439	481	759	973	558
TX_00007929	A1	4950441	4952919	-	2479	486	603	612	465	523	433	489	453	556	611	960	644
TX_00007928	A1	4956837	4957973	-	1137	34	114	26	75	92	16	162	8	57	188	60	35
TX_00007927	A1	4981422	4986298	-	4877	18	8	60	15	19	13	27	78	25	51	87	1
TX_00007926	A1	4991465	4994527	+	3063	235	365	342	244	331	238	235	190	304	430	534	353
TX_00007925	A1	5009897	5011627	-	1731	1	1	2	0	2	1	0	1	1	0	8	1
TX_00007924	A1	5048551	5060951	+	12401	313	316	482	350	302	125	296	348	335	501	764	550
TX_00007923	A1	5062240	5066333	-	4094	454	270	820	289	332	282	276	197	460	190	889	371
TX_00007922	A1	5069483	5071445	-	1963	49	61	37	46	271	67	42	5	91	847	65	26
TX_00007921	A1	5116053	5117365	+	1313	4075	6175	5991	6407	4045	8302	566	47	4891	10512	8167	3116
TX_00007920	A1	5140565	5144367	+	3803	522	113	406	99	224	162	35	41	787	112	528	260
TX_00007919	A1	5183507	5185849	+	2343	122	55	134	70	73	112	164	58	627	49	1110	30
TX_00007918	A1	5212215	5218053	-	5839	28	13	52	12	17	22	6	8	103	34	40	21
TX_00007917	A1	5229683	5231077	-	1395	1042	803	745	676	843	202	913	192	838	409	1864	692
TX_00007916	A1	5254489	5255516	+	1028	154	167	198	136	203	99	157	213	177	71	282	96
TX_00007915	A1	5261252	5263614	+	2363	74	63	92	61	85	61	51	32	82	94	135	54
TX_00007914	A1	5267188	5270774	-	3587	11	18	31	17	5	12	24	10	17	29	55	22
TX_00026243	A1	5274152	5275841	+	1690	0	0	0	0	1	0	0	0	0	0	3	0
TX_00007913	A1	5292606	5295809	-	3204	356	298	423	211	352	303	263	163	376	292	717	504
TX_00007912	A1	5297080	5299298	+	2219	2	1	16	0	0	1	1	0	2	1	2	3
TX_00007911	A1	5303539	5307677	-	4139	759	1027	1085	726	832	648	747	476	905	883	1548	910
TX_00007910	A1	5310119	5312371	+	2253	0	0	0	0	0	0	0	0	0	0	0	0
TX_00007909	A1	5329575	5330233	+	659	25	30	59	5	34	11	19	15	22	15	57	22
