pairID,id_tx_mat,id_tx_pat,chr_tx_mat,chr_tx_pat,start_tx_mat,start_tx_pat,end_tx_mat,end_tx_pat,flag_tx_mat,flag_tx_pat,TM4.mat,TM5.mat,TM6.mat,TF1.mat,TF2.mat,TF3.mat,TF4.mat,TF5.mat,TF6.mat,TM1.mat,TM2.mat,TM3.mat,total.mat,femTotal.mat,maleTotal.mat,femMean.mat,maleMean.mat,TM4.pat,TM5.pat,TM6.pat,TF1.pat,TF2.pat,TF3.pat,TF4.pat,TF5.pat,TF6.pat,TM1.pat,TM2.pat,TM3.pat,total.pat,femTotal.pat,maleTotal.pat,femMean.pat,maleMean.pat
TX_maternal_00016789_TX_paternal_00024119,TX_maternal_00016789,TX_paternal_00024119,X,Y,39912659,488875216,39922389,488884219,PASS,PASS,19,8,13,6,16,16,11,23,47,7,21,11,135,119,79,19.833333333333332,13.166666666666666,17,2,16,7,4,5,9,23,22,2,9,5,143,70,51,11.666666666666666,8.5
TX_maternal_00016791_TX_paternal_00024122,TX_maternal_00016791,TX_paternal_00024122,X,Y,40337805,489334370,40360318,489335796,PASS,PASS,245,2,334,651,842,702,80,271,1292,157,351,344,29450,3838,1433,639.6666666666666,238.83333333333334,207,892,282,1,3,3,72,2,13,128,256,346,38710,94,2111,15.666666666666666,351.83333333333337
TX_maternal_00016849_TX_paternal_00024173,TX_maternal_00016849,TX_paternal_00024173,X,Y,42470292,491266605,42474330,491269585,PASS,PASS,133,157,141,219,266,234,123,153,248,74,93,67,6700,1243,665,207.16666666666666,110.83333333333333,46,44,72,0,0,0,46,1,0,68,149,92,3243,47,471,7.833333333333333,78.5
TX_maternal_00016852_TX_paternal_00024177,TX_maternal_00016852,TX_paternal_00024177,X,Y,42631504,491446590,42633582,491448663,PASS,PASS,43,20,59,293,98,298,203,499,163,6,61,54,582,1554,243,259,40.5,33,117,95,0,1,0,24,24,4,73,62,80,2712,53,460,8.833333333333334,76.66666666666667
TX_maternal_00016855_TX_paternal_00024182,TX_maternal_00016855,TX_paternal_00024182,X,Y,42778982,491603435,42784612,491613643,PASS,PASS,86,64,99,110,99,135,114,35,162,103,113,71,1256,655,536,109.16666666666667,89.33333333333333,68,66,101,0,5,0,1,17,9,132,117,81,1043,32,565,5.333333333333334,94.16666666666667
TX_maternal_00016857_TX_paternal_00024183,TX_maternal_00016857,TX_paternal_00024183,X,Y,42984156,491634554,42985512,491637199,PASS,PASS,37,38,0,0,0,0,44,0,66,0,0,0,703,110,75,18.333333333333332,12.5,130,2,234,0,0,0,3,0,7,130,0,100,3565,10,596,1.6666666666666665,99.33333333333334
TX_maternal_00016858_TX_paternal_00024185,TX_maternal_00016858,TX_paternal_00024185,X,Y,42999263,491645044,43003183,491649196,PASS,PASS,23,16,55,65,80,98,55,16,93,21,82,67,2025,407,264,67.83333333333333,44,63,17,40,0,13,0,9,8,28,40,53,45,1026,58,258,9.666666666666668,43
TX_maternal_00016876_TX_paternal_00024202,TX_maternal_00016876,TX_paternal_00024202,X,Y,44054885,492644267,44057612,492646856,PASS,PASS,13,16,56,19,23,21,87,59,85,3,63,26,273,294,177,49,29.5,27,48,75,11,0,6,22,18,18,14,61,56,1245,75,281,12.5,46.833333333333336
TX_maternal_00016897_TX_paternal_00024220,TX_maternal_00016897,TX_paternal_00024220,X,Y,45468278,493694633,45470413,493696136,PASS,PASS,11,12,48,41,37,21,26,11,28,42,58,17,98,164,188,27.333333333333332,31.333333333333332,17,20,39,1,0,0,1,0,0,30,11,31,360,2,148,0.33333333333333337,24.666666666666668
TX_maternal_00016932_TX_paternal_00024257,TX_maternal_00016932,TX_paternal_00024257,X,Y,47704203,496177121,47707996,496180934,PASS,PASS,30,21,28,49,96,50,47,10,97,29,79,36,231,349,223,58.166666666666664,37.166666666666664,31,37,33,1,1,1,0,0,2,52,45,37,238,5,235,0.8333333333333333,39.166666666666664
TX_maternal_00016947_TX_paternal_00024280,TX_maternal_00016947,TX_paternal_00024280,X,Y,48437992,496959646,48442110,496963599,PASS,PASS,5,32,8,14,21,24,18,20,6,45,21,15,110,103,126,17.166666666666668,21,5,10,28,0,11,0,1,0,0,52,75,14,95,12,184,2,30.666666666666668
TX_maternal_00016948_TX_paternal_00024279,TX_maternal_00016948,TX_paternal_00024279,X,Y,48443274,496953591,48445529,496958487,PASS,PASS,10,12,8,7,17,3,26,5,33,6,13,2,54,91,51,15.166666666666666,8.5,18,22,37,8,7,26,9,10,10,28,59,48,1023,70,212,11.666666666666666,35.333333333333336
TX_maternal_00016949_TX_paternal_00024276,TX_maternal_00016949,TX_paternal_00024276,X,Y,48489806,496860518,48491073,496862208,PASS,PASS,10,17,2,7,6,1,8,14,15,3,21,8,27,51,61,8.5,10.166666666666666,23,71,38,0,5,4,10,5,20,64,152,105,5312,44,453,7.333333333333334,75.5
TX_maternal_00016961_TX_paternal_00024293,TX_maternal_00016961,TX_paternal_00024293,X,Y,48885765,497518582,48887306,497519860,PASS,PASS,0,0,0,0,0,25,0,0,0,0,0,80,3240,25,80,4.166666666666667,13.333333333333334,0,0,0,0,0,13,0,0,0,0,0,45,1035,13,45,2.1666666666666665,7.5
TX_maternal_00016982_TX_paternal_00024314,TX_maternal_00016982,TX_paternal_00024314,X,Y,49973101,498660781,49975369,498662289,PASS,PASS,9,0,0,6,0,0,1,0,7,0,0,0,45,14,9,2.333333333333333,1.5,6,0,0,2,0,0,0,0,8,0,0,0,21,10,6,1.6666666666666665,1
TX_maternal_00017004_TX_paternal_00024340,TX_maternal_00017004,TX_paternal_00024340,X,Y,50972968,499428143,50983519,499438666,PASS,PASS,1,2,1,7,4,25,3,3,6,2,1,12,78,48,19,8,3.166666666666667,36,27,36,19,13,10,2,8,5,71,123,69,1785,57,362,9.5,60.333333333333336
TX_maternal_00017039_TX_paternal_00024372,TX_maternal_00017039,TX_paternal_00024372,X,Y,51776051,500084552,51785486,500093975,PASS,PASS,63,90,103,125,115,117,128,175,187,119,83,42,1155,847,500,141.16666666666666,83.33333333333333,44,65,121,1,6,1,3,12,13,118,206,103,4410,36,657,6,109.5
TX_maternal_00017051_TX_paternal_00024379,TX_maternal_00017051,TX_paternal_00024379,X,Y,52066046,500318635,52071500,500321743,PASS,PASS,12,12,5,13,9,7,12,18,25,9,31,13,25,84,82,14,13.666666666666668,20,20,34,8,2,2,1,3,6,11,33,23,86,22,141,3.666666666666667,23.5
TX_maternal_00017052_TX_paternal_00024380,TX_maternal_00017052,TX_paternal_00024380,X,Y,52093885,500333121,52097441,500338110,PASS,PASS,11,3,7,13,24,12,1,3,30,15,25,13,36,83,74,13.833333333333332,12.333333333333334,13,22,14,10,10,19,1,2,6,9,33,14,27,48,105,8,17.5
TX_maternal_00017065_TX_paternal_00024394,TX_maternal_00017065,TX_paternal_00024394,X,Y,52324672,500577647,52326138,500579812,PASS,PASS,11,1,3,19,14,14,2,5,19,1,28,9,30,73,53,12.166666666666666,8.833333333333332,5,9,17,5,0,3,1,0,0,2,28,11,56,9,72,1.5,12
TX_maternal_00017070_TX_paternal_00024400,TX_maternal_00017070,TX_paternal_00024400,X,Y,52499941,500805139,52502502,500808005,PASS,PASS,32,21,29,22,47,26,17,7,80,30,44,33,65,199,189,33.166666666666664,31.5,74,57,67,1,1,1,0,0,9,32,102,90,1394,12,422,2,70.33333333333333
TX_maternal_00017073_TX_paternal_00024459,TX_maternal_00017073,TX_paternal_00024459,X,Y,52736724,503367162,52738601,503369068,PASS,PASS,22,20,16,42,62,52,28,8,49,8,93,21,43,241,180,40.166666666666664,30,12,8,41,0,0,1,2,0,1,14,33,17,87,4,125,0.6666666666666667,20.833333333333332
TX_maternal_00017082_TX_paternal_00024453,TX_maternal_00017082,TX_paternal_00024453,X,Y,53145880,503015463,53150555,503023081,PASS,PASS,77,141,50,115,270,121,82,68,185,94,215,48,1875,841,625,140.16666666666666,104.16666666666667,31,83,36,12,0,15,1,9,0,40,68,39,315,37,297,6.166666666666666,49.5
TX_maternal_00017089_TX_paternal_00022073,TX_maternal_00017089,TX_paternal_00022073,X,Y,53238120,202675673,53240481,202678474,PASS,PASS,452,609,503,1098,1419,1134,1468,1245,1019,564,1350,579,65984,7383,4057,1230.5,676.1666666666666,40,58,61,0,2,2,3,0,2,74,97,50,495,9,380,1.5,63.333333333333336
TX_maternal_00017094_TX_paternal_00022074,TX_maternal_00017094,TX_paternal_00022074,X,Y,53449914,202965658,53452536,202968272,PASS,PASS,81,55,98,75,151,104,91,64,152,38,132,87,588,637,491,106.16666666666667,81.83333333333333,86,74,129,8,9,12,15,15,14,63,146,123,3971,73,621,12.166666666666666,103.5
TX_maternal_00017109_TX_paternal_00022078,TX_maternal_00017109,TX_paternal_00022078,X,Y,54247605,203527547,54248748,203679693,PASS,PASS,924,1016,821,2937,1606,2263,2028,2407,1288,188,1280,631,228585,12529,4860,2088.1666666666665,810,34,67,74,8,10,11,9,4,0,20,142,61,1330,42,398,7,66.33333333333333
TX_maternal_00017116_TX_paternal_00023030,TX_maternal_00017116,TX_paternal_00023030,X,Y,55172718,354629573,55178330,354634993,PASS,PASS,13,18,20,21,40,49,10,16,40,30,28,12,25,176,121,29.333333333333332,20.166666666666668,13,15,36,2,3,4,0,4,0,24,34,28,328,13,150,2.1666666666666665,25
TX_maternal_00017141_TX_paternal_00023062,TX_maternal_00017141,TX_paternal_00023062,X,Y,57303826,357227020,57306831,357255900,PASS,PASS,226,296,339,796,837,399,545,481,657,451,510,280,13915,3715,2102,619.1666666666666,350.3333333333333,381,444,582,19,23,27,9,13,27,766,773,442,25513,118,3388,19.666666666666668,564.6666666666666
TX_maternal_00017146_TX_paternal_00023074,TX_maternal_00017146,TX_paternal_00023074,X,Y,57629325,357756293,57634939,357762488,PASS,PASS,26,7,8,18,65,16,9,11,69,11,34,25,51,188,111,31.333333333333336,18.5,44,52,61,3,1,5,18,13,0,52,120,75,1904,40,404,6.666666666666667,67.33333333333333
TX_maternal_00017161_TX_paternal_00023111,TX_maternal_00017161,TX_paternal_00023111,X,Y,58818914,362076060,58821090,362078230,PASS,PASS,241,249,263,330,581,538,375,333,537,218,575,206,8046,2694,1752,449,292,139,145,163,5,9,9,8,4,6,118,299,153,2190,41,1017,6.833333333333333,169.5
TX_maternal_00017179_TX_paternal_00023542,TX_maternal_00017179,TX_paternal_00023542,X,Y,61375321,420299876,61397082,420308595,PASS,PASS,566,588,564,1870,2627,2628,1625,970,3101,556,964,1133,482516,12821,4371,2136.8333333333335,728.5,265,152,315,7,5,5,2,4,12,106,541,97,30589,35,1476,5.833333333333333,246
TX_maternal_00017185_TX_paternal_00023118,TX_maternal_00017185,TX_paternal_00023118,X,Y,61971813,363106465,61975177,363108422,PASS,PASS,26,54,4,11,69,13,52,11,69,42,114,5,341,225,245,37.5,40.83333333333333,52,42,42,1,1,2,1,0,2,91,67,54,159,7,348,1.1666666666666667,58
TX_maternal_00017203_TX_paternal_00020572,TX_maternal_00017203,TX_paternal_00020572,X,Y,63188991,56478594,63194388,56483978,PASS,PASS,19,28,159,14,23,26,10,10,120,7,113,25,154,203,351,33.83333333333333,58.5,22,10,50,3,0,1,1,3,16,23,43,43,715,24,191,4,31.833333333333332
TX_maternal_00017223_TX_paternal_00022938,TX_maternal_00017223,TX_paternal_00022938,X,Y,65552907,338712689,65556519,338716181,PASS,PASS,249,319,301,454,526,448,487,376,569,402,588,200,11225,2860,2059,476.6666666666667,343.1666666666667,262,261,287,0,1,1,0,1,0,368,432,194,15732,3,1804,0.5,300.6666666666667
TX_maternal_00017231_TX_paternal_00021981,TX_maternal_00017231,TX_paternal_00021981,X,Y,66054251,193136559,66059045,193141377,PASS,PASS,2,24,1,7,15,14,12,9,22,5,38,7,27,79,77,13.166666666666666,12.833333333333332,15,15,8,2,0,6,2,3,0,23,27,27,273,13,115,2.1666666666666665,19.166666666666668
TX_maternal_00017240_TX_paternal_00022942,TX_maternal_00017240,TX_paternal_00022942,X,Y,67254698,339261511,67261229,339574655,PASS,PASS,269,261,231,571,750,617,628,428,468,258,405,328,17910,3462,1752,577,292,150,170,117,0,0,2,0,0,1,194,217,135,2280,3,983,0.5,163.83333333333334
TX_maternal_00017241_TX_paternal_00022946,TX_maternal_00017241,TX_paternal_00022946,X,Y,67602229,340300930,67605114,340303813,PASS,PASS,134,185,196,307,417,350,263,278,313,57,257,179,7199,1928,1008,321.3333333333333,168,316,284,364,7,36,15,3,6,19,196,439,314,945,86,1913,14.333333333333332,318.8333333333333
TX_maternal_00017294_TX_paternal_00022675,TX_maternal_00017294,TX_paternal_00022675,X,Y,72379928,302098984,72384520,302108238,PASS,PASS,14,48,112,112,58,72,170,93,44,1,139,73,2610,549,387,91.5,64.5,18,19,22,4,0,11,7,6,0,32,12,27,225,28,130,4.666666666666667,21.666666666666668
TX_maternal_00017301_TX_paternal_00022669,TX_maternal_00017301,TX_paternal_00022669,X,Y,72696660,301446698,72700317,301449533,PASS,PASS,185,162,251,264,387,312,137,115,594,309,423,451,84906,1809,1781,301.5,296.8333333333333,283,249,434,0,1,1,1,0,3,557,654,767,254625,6,2944,1,490.6666666666667
TX_maternal_00017303_TX_paternal_00022672,TX_maternal_00017303,TX_paternal_00022672,X,Y,72743150,301985577,72859180,301987238,PASS,PASS,829,735,1344,1704,2011,1795,918,1182,3806,463,797,1297,498547,11416,5465,1902.6666666666667,910.8333333333334,786,724,1355,3,4,1,0,1,6,473,931,1234,453490,15,5503,2.5,917.1666666666666
TX_maternal_00017322_TX_paternal_00022484,TX_maternal_00017322,TX_paternal_00022484,X,Y,74409754,263671424,74412455,263674048,PASS,PASS,215,256,255,509,363,593,278,572,591,103,410,366,44156,2906,1605,484.3333333333333,267.5,252,326,303,20,15,19,10,15,15,166,454,269,4689,94,1770,15.666666666666666,295
TX_maternal_00017418_TX_paternal_00022695,TX_maternal_00017418,TX_paternal_00022695,X,Y,82450116,305189005,82451720,305190622,PASS,PASS,14,1,19,10,17,20,14,5,143,12,47,11,50,209,104,34.83333333333333,17.333333333333332,16,3,12,0,0,0,1,0,2,2,13,9,100,3,55,0.5,9.166666666666666
TX_maternal_00017419_TX_paternal_00022694,TX_maternal_00017419,TX_paternal_00022694,X,Y,82452111,305107950,82456338,305110113,PASS,PASS,82,108,117,189,242,255,156,148,214,115,222,115,3349,1204,759,200.66666666666666,126.5,79,89,103,1,1,1,0,1,0,66,190,79,79,4,606,0.6666666666666666,101
TX_maternal_00017420_TX_paternal_00022693,TX_maternal_00017420,TX_paternal_00022693,X,Y,82554370,305009420,82556451,305011450,PASS,PASS,43,50,74,108,123,110,129,95,105,102,65,44,87,670,378,111.66666666666667,63,27,41,40,1,2,1,2,2,2,67,65,26,53,10,266,1.6666666666666667,44.333333333333336
TX_maternal_00017421_TX_paternal_00022692,TX_maternal_00017421,TX_paternal_00022692,X,Y,82557481,304646973,82562711,304651041,PASS,PASS,157,169,152,331,403,303,378,269,450,310,284,155,468,2134,1227,355.6666666666667,204.5,156,205,229,0,1,1,2,1,1,263,313,173,2961,6,1339,1,223.16666666666666
TX_maternal_00017505_TX_paternal_00022981,TX_maternal_00017505,TX_paternal_00022981,X,Y,90095063,345804726,90099046,345808225,PASS,PASS,34,18,23,28,32,51,30,27,52,19,31,31,130,220,156,36.666666666666664,26,14,25,19,0,3,0,0,0,1,51,44,36,575,4,189,0.6666666666666667,31.5
TX_maternal_00017523_TX_paternal_00022988,TX_maternal_00017523,TX_paternal_00022988,X,Y,91612332,347112106,91618751,347114579,PASS,PASS,152,126,118,191,273,212,216,140,223,192,286,167,2552,1255,1041,209.16666666666666,173.5,342,357,312,12,4,17,3,7,5,470,733,429,33924,48,2643,8,440.5
TX_maternal_00017634_TX_paternal_00021837,TX_maternal_00017634,TX_paternal_00021837,X,Y,98265076,179410682,98267300,179412858,PASS,PASS,56,69,97,98,175,156,111,77,274,60,86,184,15480,891,552,148.5,92,99,78,104,0,0,0,2,1,0,63,127,221,19680,3,692,0.5,115.33333333333333
TX_maternal_00017640_TX_paternal_00023365,TX_maternal_00017640,TX_paternal_00023365,X,Y,99168773,387404947,99173605,387409370,PASS,PASS,14,15,47,21,7,24,10,16,34,10,37,26,260,112,149,18.666666666666668,24.833333333333332,39,38,94,2,0,3,2,0,1,30,86,92,3537,8,379,1.3333333333333333,63.166666666666664
TX_maternal_00017649_TX_paternal_00023908,TX_maternal_00017649,TX_paternal_00023908,X,Y,99490213,465945900,99503397,465948060,PASS,PASS,8,3,23,26,17,42,3,3,37,7,9,21,203,128,71,21.333333333333332,11.833333333333334,21,24,39,15,0,4,0,0,1,28,24,36,456,20,172,3.333333333333333,28.666666666666668
TX_maternal_00017648_TX_paternal_00023907,TX_maternal_00017648,TX_paternal_00023907,X,Y,99484810,465940753,99489843,465945622,PASS,PASS,285,242,311,469,606,507,416,194,454,431,421,280,1695,2646,1970,441,328.3333333333333,117,148,135,4,3,3,3,2,21,193,194,85,3333,36,872,6,145.33333333333334
TX_maternal_00017653_TX_paternal_00023916,TX_maternal_00017653,TX_paternal_00023916,X,Y,99612511,466435884,99618184,466439799,PASS,PASS,110,133,177,165,232,183,221,149,163,141,202,109,219,1113,872,185.5,145.33333333333334,11,19,19,0,0,0,0,0,0,31,30,14,50,0,124,0,20.666666666666668
TX_maternal_00017655_TX_paternal_00023919,TX_maternal_00017655,TX_paternal_00023919,X,Y,99740062,466923074,99742618,466927312,PASS,PASS,178,273,247,500,447,405,460,441,604,281,408,192,2775,2857,1579,476.1666666666667,263.1666666666667,71,96,110,0,28,1,5,2,0,123,98,61,726,36,559,6,93.16666666666667
TX_maternal_00017656_TX_paternal_00023920,TX_maternal_00017656,TX_paternal_00023920,X,Y,99740868,466926683,99745504,466929301,PASS,PASS,136,200,250,293,482,207,456,217,291,273,356,142,973,1946,1357,324.3333333333333,226.16666666666666,189,261,301,32,30,20,28,6,0,498,326,193,955,116,1768,19.333333333333332,294.6666666666667
TX_maternal_00017662_TX_paternal_00023923,TX_maternal_00017662,TX_paternal_00023923,X,Y,99976193,467185688,99978520,467187985,PASS,PASS,232,137,218,195,265,245,142,76,551,186,272,302,18957,1474,1347,245.66666666666669,224.5,31,49,28,8,2,4,5,2,0,39,45,42,438,21,234,3.5,39
TX_maternal_00017669_TX_paternal_00023929,TX_maternal_00017669,TX_paternal_00023929,X,Y,100100249,467713626,100105821,467718029,PASS,PASS,145,252,212,748,892,801,939,677,804,192,382,189,7515,4861,1372,810.1666666666666,228.66666666666666,192,252,501,12,10,10,9,19,34,425,379,461,88155,94,2210,15.666666666666668,368.3333333333333
