pgID,pairID,id_tx_mat,id_tx_pat,chr_tx_mat,chr_tx_pat,start_tx_mat,start_tx_pat,end_tx_mat,end_tx_pat,id_tx_mat_fix,id_tx_pat_fix,length.mat,Rh_02.mat,length.pat,Rh_02.pat
240,NChap2_final_00023044-RA_NChap2_final_00023044-RA,NChap2_final_00023044-RA,NChap2_final_00023044-RA,X,Y,13364578,258468252,13365270,258468907,X_TX_00023044,TX_00023044,692,0,655,0
247,NChap2_final_00023043-RA_NChap2_final_00023043-RA,NChap2_final_00023043-RA,NChap2_final_00023043-RA,X,Y,13416387,258589419,13419110,258592124,X_TX_00023043,TX_00023043,2723,2366,2705,2056
286,NChap2_final_00023098-RA_NChap2_final_00023098-RA,NChap2_final_00023098-RA,NChap2_final_00023098-RA,X,Y,17266615,287579350,17268761,287581471,X_TX_00023098,TX_00023098,2146,726,2121,1100
292,NChap2_final_00023095-RA_NChap2_final_00023095-RA,NChap2_final_00023095-RA,NChap2_final_00023095-RA,X,Y,17384918,287421689,17385894,287422604,X_TX_00023095,TX_00023095,976,1093,915,222
312,NChap2_final_00023013-RA_NChap2_final_00023013-RA,NChap2_final_00023013-RA,NChap2_final_00023013-RA,X,Y,60701789,354795632,60703661,354797583,X_TX_00023013,TX_00023013,1872,4623,1951,2203
325,NChap2_final_00020327-RA_NChap2_final_00020327-RA,NChap2_final_00020327-RA,NChap2_final_00020327-RA,X,Y,19345036,502560492,19345724,502561173,X_TX_00020327,TX_00020327,688,0,681,0
327,NChap2_final_00020326-RA_NChap2_final_00020326-RA,NChap2_final_00020326-RA,NChap2_final_00020326-RA,X,Y,19353603,502600022,19356873,502603539,X_TX_00020326,TX_00020326,3270,1465,3517,816
337,NChap2_final_00020322-RA_NChap2_final_00020322-RA,NChap2_final_00020322-RA,NChap2_final_00020322-RA,X,Y,19480773,502855047,19491487,502885231,X_TX_00020322,TX_00020322,10714,0,30184,1
341,NChap2_final_00020321-RA_NChap2_final_00020321-RA,NChap2_final_00020321-RA,NChap2_final_00020321-RA,X,Y,19493333,502898440,19495001,502899893,X_TX_00020321,TX_00020321,1668,56,1453,66
343,NChap2_final_00020320-RA_NChap2_final_00020320-RA,NChap2_final_00020320-RA,NChap2_final_00020320-RA,X,Y,19495958,502900849,19499312,502910214,X_TX_00020320,TX_00020320,3354,3453,9365,8842
345,NChap2_final_00022975-RA_NChap2_final_00022975-RA,NChap2_final_00022975-RA,NChap2_final_00022975-RA,X,Y,19646648,202648851,19651225,202653534,X_TX_00022975,TX_00022975,4577,1532,4683,848
351,NChap2_final_00022973-RA_NChap2_final_00022973-RA,NChap2_final_00022973-RA,NChap2_final_00022973-RA,X,Y,19691455,202548547,19693543,202550639,X_TX_00022973,TX_00022973,2088,1550,2092,480
357,NChap2_final_00004156-RA_NChap2_final_00022971-RA,NChap2_final_00004156-RA,NChap2_final_00022971-RA,X,Y,20025565,201973799,20027067,201975136,X_TX_00004156,TX_00022971,1502,253,1337,147
365,NChap2_final_00022970-RA_NChap2_final_00022970-RA,NChap2_final_00022970-RA,NChap2_final_00022970-RA,X,Y,20592366,201617255,20595356,201620261,X_TX_00022970,TX_00022970,2990,975,3006,1231
376,NChap2_final_00022965-RA_NChap2_final_00022965-RA,NChap2_final_00022965-RA,NChap2_final_00022965-RA,X,Y,21301902,200895338,21307029,200900476,X_TX_00022965,TX_00022965,5127,441,5138,333
380,NChap2_final_00022962-RA_NChap2_final_00022962-RA,NChap2_final_00022962-RA,NChap2_final_00022962-RA,X,Y,21571932,200539092,21576088,200543275,X_TX_00022962,TX_00022962,4156,325,4183,306
381,NChap2_final_00022961-RA_NChap2_final_00022961-RA,NChap2_final_00022961-RA,NChap2_final_00022961-RA,X,Y,21576804,200466324,21581077,200470587,X_TX_00022961,TX_00022961,4273,965,4263,701
382,NChap2_final_00022960-RA_NChap2_final_00022960-RA,NChap2_final_00022960-RA,NChap2_final_00022960-RA,X,Y,21581129,200464590,21582841,200466273,X_TX_00022960,TX_00022960,1712,3331,1683,2277
439,NChap2_final_00019771-RA_NChap2_final_00019771-RA,NChap2_final_00019771-RA,NChap2_final_00019771-RA,X,Y,25183068,328884826,25184833,328886592,X_TX_00019771,TX_00019771,1765,0,1766,3
458,NChap2_final_00019769-RA_NChap2_final_00019769-RA,NChap2_final_00019769-RA,NChap2_final_00019769-RA,X,Y,26052366,329197320,26055012,329199962,X_TX_00019769,TX_00019769,2646,1069,2642,1432
463,NChap2_final_00019766-RA_NChap2_final_00019766-RA,NChap2_final_00019766-RA,NChap2_final_00019766-RA,X,Y,26233951,329541148,26238736,329545905,X_TX_00019766,TX_00019766,4785,4064,4757,1089
474,NChap2_final_00019765-RA_NChap2_final_00019765-RA,NChap2_final_00019765-RA,NChap2_final_00019765-RA,X,Y,26392675,329721808,26394553,329723769,X_TX_00019765,TX_00019765,1878,1813,1961,5147
481,NChap2_final_00019763-RA_NChap2_final_00019763-RA,NChap2_final_00019763-RA,NChap2_final_00019763-RA,X,Y,26480396,329976014,26484078,329979697,X_TX_00019763,TX_00019763,3682,572,3683,1037
483,NChap2_final_00019762-RA_NChap2_final_00019762-RA,NChap2_final_00019762-RA,NChap2_final_00019762-RA,X,Y,26497938,329997356,26502287,329999890,X_TX_00019762,TX_00019762,4349,0,2534,0
492,NChap2_final_00020031-RA_NChap2_final_00020031-RA,NChap2_final_00020031-RA,NChap2_final_00020031-RA,X,Y,26823067,330320134,26826016,330328311,X_TX_00020031,TX_00020031,2949,0,8177,0
493,NChap2_final_00020032-RA_NChap2_final_00020032-RA,NChap2_final_00020032-RA,NChap2_final_00020032-RA,X,Y,26858283,330467744,26859992,330469383,X_TX_00020032,TX_00020032,1709,6,1639,19
496,NChap2_final_00020033-RA_NChap2_final_00020033-RA,NChap2_final_00020033-RA,NChap2_final_00020033-RA,X,Y,26862121,330493959,26866784,330495958,X_TX_00020033,TX_00020033,4663,96,1999,4
501,NChap2_final_00020034-RA_NChap2_final_00020034-RA,NChap2_final_00020034-RA,NChap2_final_00020034-RA,X,Y,26964264,330786714,26965975,330788387,X_TX_00020034,TX_00020034,1711,90,1673,462
508,NChap2_final_00020037-RA_NChap2_final_00020037-RA,NChap2_final_00020037-RA,NChap2_final_00020037-RA,X,Y,26970952,330866015,26987994,330888114,X_TX_00020037,TX_00020037,17042,64,22099,305
511,NChap2_final_00020038-RA_NChap2_final_00020038-RA,NChap2_final_00020038-RA,NChap2_final_00020038-RA,X,Y,27067283,330954779,27071755,330959240,X_TX_00020038,TX_00020038,4472,409,4461,890
513,NChap2_final_00020039-RA_NChap2_final_00020039-RA,NChap2_final_00020039-RA,NChap2_final_00020039-RA,X,Y,27111242,331004481,27112217,331005420,X_TX_00020039,TX_00020039,975,14,939,247
515,NChap2_final_00020040-RA_NChap2_final_00020040-RA,NChap2_final_00020040-RA,NChap2_final_00020040-RA,X,Y,27211453,331161426,27214260,331164235,X_TX_00020040,TX_00020040,2807,77,2809,279
559,NChap2_final_00020123-RA_NChap2_final_00020123-RA,NChap2_final_00020123-RA,NChap2_final_00020123-RA,X,Y,28505467,447171796,28506727,447173040,X_TX_00020123,TX_00020123,1260,0,1244,0
566,NChap2_final_00020124-RA_NChap2_final_00020124-RA,NChap2_final_00020124-RA,NChap2_final_00020124-RA,X,Y,28581526,447440246,28583173,447441900,X_TX_00020124,TX_00020124,1647,19,1654,2
572,NChap2_final_00020126-RA_NChap2_final_00020126-RA,NChap2_final_00020126-RA,NChap2_final_00020126-RA,X,Y,28692403,447515697,28693319,447516635,X_TX_00020126,TX_00020126,916,182,938,169
580,NChap2_final_00020128-RA_NChap2_final_00020128-RA,NChap2_final_00020128-RA,NChap2_final_00020128-RA,X,Y,28712009,447556595,28718690,447563582,X_TX_00020128,TX_00020128,6681,0,6987,0
594,NChap2_final_00020131-RA_NChap2_final_00020131-RA,NChap2_final_00020131-RA,NChap2_final_00020131-RA,X,Y,28759768,447681962,28763459,447685651,X_TX_00020131,TX_00020131,3691,582,3689,1605
596,NChap2_final_00020135-RA_NChap2_final_00020135-RA,NChap2_final_00020135-RA,NChap2_final_00020135-RA,X,Y,28791044,447845780,28792565,447847302,X_TX_00020135,TX_00020135,1521,11117,1522,2268
602,NChap2_final_00020134-RA_NChap2_final_00020134-RA,NChap2_final_00020134-RA,NChap2_final_00020134-RA,X,Y,28796663,447738813,28798126,447747945,X_TX_00020134,TX_00020134,1463,0,9132,0
609,NChap2_final_00020136-RA_NChap2_final_00020136-RA,NChap2_final_00020136-RA,NChap2_final_00020136-RA,X,Y,28962762,447894047,28963471,447894754,X_TX_00020136,TX_00020136,709,610,707,4867
617,NChap2_final_00020137-RA_NChap2_final_00020137-RA,NChap2_final_00020137-RA,NChap2_final_00020137-RA,X,Y,28973632,447911351,28976494,447914213,X_TX_00020137,TX_00020137,2862,0,2862,0
620,NChap2_final_00020138-RA_NChap2_final_00020138-RA,NChap2_final_00020138-RA,NChap2_final_00020138-RA,X,Y,29036458,447942570,29037495,447943604,X_TX_00020138,TX_00020138,1037,0,1034,0
625,NChap2_final_00020139-RA_NChap2_final_00020139-RA,NChap2_final_00020139-RA,NChap2_final_00020139-RA,X,Y,29162564,448061043,29176262,448074757,X_TX_00020139,TX_00020139,13698,1943,13714,3710
640,NChap2_final_00020144-RA_NChap2_final_00020144-RA,NChap2_final_00020144-RA,NChap2_final_00020144-RA,X,Y,29190916,448179752,29195546,448184366,X_TX_00020144,TX_00020144,4630,856,4614,1073
647,NChap2_final_00020146-RA_NChap2_final_00020146-RA,NChap2_final_00020146-RA,NChap2_final_00020146-RA,X,Y,29258430,448263834,29261808,448267217,X_TX_00020146,TX_00020146,3378,1,3383,51
664,NChap2_final_00020152-RA_NChap2_final_00020152-RA,NChap2_final_00020152-RA,NChap2_final_00020152-RA,X,Y,29766571,448841689,29768488,448843176,X_TX_00020152,TX_00020152,1917,0,1487,0
665,NChap2_final_00020153-RA_NChap2_final_00020153-RA,NChap2_final_00020153-RA,NChap2_final_00020153-RA,X,Y,29843866,448927485,29845022,448928642,X_TX_00020153,TX_00020153,1156,214,1157,963
668,NChap2_final_00020154-RA_NChap2_final_00020154-RA,NChap2_final_00020154-RA,NChap2_final_00020154-RA,X,Y,29859561,448963097,29861096,448964632,X_TX_00020154,TX_00020154,1535,184,1535,258
671,NChap2_final_00020155-RA_NChap2_final_00020155-RA,NChap2_final_00020155-RA,NChap2_final_00020155-RA,X,Y,29861936,448965416,29864828,448968299,X_TX_00020155,TX_00020155,2892,573,2883,1972
674,NChap2_final_00020157-RA_NChap2_final_00020157-RA,NChap2_final_00020157-RA,NChap2_final_00020157-RA,X,Y,29974952,449073309,29975573,449073930,X_TX_00020157,TX_00020157,621,0,621,0
677,NChap2_final_00020158-RA_NChap2_final_00020158-RA,NChap2_final_00020158-RA,NChap2_final_00020158-RA,X,Y,29975740,449074097,29976431,449074788,X_TX_00020158,TX_00020158,691,0,691,0
678,NChap2_final_00020159-RA_NChap2_final_00020159-RA,NChap2_final_00020159-RA,NChap2_final_00020159-RA,X,Y,29979388,449077700,29985603,449086927,X_TX_00020159,TX_00020159,6215,18,9227,44
681,NChap2_final_00020160-RA_NChap2_final_00020160-RA,NChap2_final_00020160-RA,NChap2_final_00020160-RA,X,Y,30024019,449120891,30031570,449128407,X_TX_00020160,TX_00020160,7551,759,7516,1032
695,NChap2_final_00020180-RA_NChap2_final_00020180-RA,NChap2_final_00020180-RA,NChap2_final_00020180-RA,X,Y,30143974,485396277,30145870,485398173,X_TX_00020180,TX_00020180,1896,5,1896,90
703,NChap2_final_00020181-RA_NChap2_final_00020181-RA,NChap2_final_00020181-RA,NChap2_final_00020181-RA,X,Y,30415376,485019149,30417623,485021435,X_TX_00020181,TX_00020181,2247,817,2286,1014
712,NChap2_final_00020183-RA_NChap2_final_00020183-RA,NChap2_final_00020183-RA,NChap2_final_00020183-RA,X,Y,30710559,484652669,30713100,484655205,X_TX_00020183,TX_00020183,2541,0,2536,0
721,NChap2_final_00020185-RA_NChap2_final_00020185-RA,NChap2_final_00020185-RA,NChap2_final_00020185-RA,X,Y,30802242,484517136,30804189,484519080,X_TX_00020185,TX_00020185,1947,4,1944,1
722,NChap2_final_00020186-RA_NChap2_final_00020186-RA,NChap2_final_00020186-RA,NChap2_final_00020186-RA,X,Y,30830782,484463299,30832950,484465462,X_TX_00020186,TX_00020186,2168,0,2163,209
723,NChap2_final_00020187-RA_NChap2_final_00020187-RA,NChap2_final_00020187-RA,NChap2_final_00020187-RA,X,Y,30834572,484459322,30836902,484461677,X_TX_00020187,TX_00020187,2330,554,2355,671
731,NChap2_final_00020193-RA_NChap2_final_00020193-RA,NChap2_final_00020193-RA,NChap2_final_00020193-RA,X,Y,31046023,484277359,31046683,484278019,X_TX_00020193,TX_00020193,660,1,660,0
732,NChap2_final_00020194-RA_NChap2_final_00020194-RA,NChap2_final_00020194-RA,NChap2_final_00020194-RA,X,Y,31047304,484276125,31047916,484276734,X_TX_00020194,TX_00020194,612,0,609,3
735,NChap2_final_00020196-RA_NChap2_final_00020196-RA,NChap2_final_00020196-RA,NChap2_final_00020196-RA,X,Y,31115595,484427822,31115853,484428080,X_TX_00020196,TX_00020196,258,36,258,1202
737,NChap2_final_00020197-RA_NChap2_final_00020197-RA,NChap2_final_00020197-RA,NChap2_final_00020197-RA,X,Y,31119589,484205155,31121648,484207214,X_TX_00020197,TX_00020197,2059,138,2059,6
740,NChap2_final_00020198-RA_NChap2_final_00020198-RA,NChap2_final_00020198-RA,NChap2_final_00020198-RA,X,Y,31215856,484106028,31217970,484111859,X_TX_00020198,TX_00020198,2114,150,5831,128
747,NChap2_final_00020199-RA_NChap2_final_00020199-RA,NChap2_final_00020199-RA,NChap2_final_00020199-RA,X,Y,31499902,483694883,31501438,483696012,X_TX_00020199,TX_00020199,1536,0,1129,0
750,NChap2_final_00020200-RA_NChap2_final_00020200-RA,NChap2_final_00020200-RA,NChap2_final_00020200-RA,X,Y,31546961,483648867,31547432,483649338,X_TX_00020200,TX_00020200,471,0,471,0
754,NChap2_final_00020201-RA_NChap2_final_00020201-RA,NChap2_final_00020201-RA,NChap2_final_00020201-RA,X,Y,31598049,483602532,31605980,483605273,X_TX_00020201,TX_00020201,7931,9,2741,5
755,NChap2_final_00020202-RA_NChap2_final_00020202-RA,NChap2_final_00020202-RA,NChap2_final_00020202-RA,X,Y,31653784,326240331,31663214,326249749,X_TX_00020202,TX_00020202,9430,14,9418,40
757,NChap2_final_00020203-RA_NChap2_final_00020203-RA,NChap2_final_00020203-RA,NChap2_final_00020203-RA,X,Y,31672079,326203398,31672623,326203946,X_TX_00020203,TX_00020203,544,0,548,0
777,NChap2_final_00020786-RA_NChap2_final_00020786-RA,NChap2_final_00020786-RA,NChap2_final_00020786-RA,X,Y,32137434,325174015,32138768,325175348,X_TX_00020786,TX_00020786,1334,48,1333,377
779,NChap2_final_00020785-RA_NChap2_final_00020785-RA,NChap2_final_00020785-RA,NChap2_final_00020785-RA,X,Y,32142850,325176771,32148733,325183338,X_TX_00020785,TX_00020785,5883,217,6567,13
797,NChap2_final_00020778-RA_NChap2_final_00020778-RA,NChap2_final_00020778-RA,NChap2_final_00020778-RA,X,Y,32651071,324386160,32654036,324389117,X_TX_00020778,TX_00020778,2965,0,2957,0
803,NChap2_final_00020776-RA_NChap2_final_00020776-RA,NChap2_final_00020776-RA,NChap2_final_00020776-RA,X,Y,33001069,324180597,33002947,324182485,X_TX_00020776,TX_00020776,1878,0,1888,0
814,NChap2_final_00020774-RA_NChap2_final_00020774-RA,NChap2_final_00020774-RA,NChap2_final_00020774-RA,X,Y,33163699,324068573,33164427,324069327,X_TX_00020774,TX_00020774,728,0,754,0
817,NChap2_final_00020772-RA_NChap2_final_00020772-RA,NChap2_final_00020772-RA,NChap2_final_00020772-RA,X,Y,33436974,323600859,33437724,323601610,X_TX_00020772,TX_00020772,750,0,751,0
837,NChap2_final_00020379-RA_NChap2_final_00020379-RA,NChap2_final_00020379-RA,NChap2_final_00020379-RA,X,Y,34698306,322786510,34701026,322789230,X_TX_00020379,TX_00020379,2720,0,2720,3
841,NChap2_final_00020380-RA_NChap2_final_00020380-RA,NChap2_final_00020380-RA,NChap2_final_00020380-RA,X,Y,34875922,322582594,34891932,322592762,X_TX_00020380,TX_00020380,16010,22,10168,126
853,NChap2_final_00020383-RA_NChap2_final_00020383-RA,NChap2_final_00020383-RA,NChap2_final_00020383-RA,X,Y,35094543,322558869,35096634,322560944,X_TX_00020383,TX_00020383,2091,3864,2075,5914
857,NChap2_final_00020385-RA_NChap2_final_00020385-RA,NChap2_final_00020385-RA,NChap2_final_00020385-RA,X,Y,35129947,322540616,35130637,322541592,X_TX_00020385,TX_00020385,690,0,976,0
861,NChap2_final_00020386-RA_NChap2_final_00020386-RA,NChap2_final_00020386-RA,NChap2_final_00020386-RA,X,Y,35205260,322425423,35210773,322430923,X_TX_00020386,TX_00020386,5513,136,5500,1088
863,NChap2_final_00020387-RA_NChap2_final_00020387-RA,NChap2_final_00020387-RA,NChap2_final_00020387-RA,X,Y,35249500,322385789,35250918,322387199,X_TX_00020387,TX_00020387,1418,0,1410,6
865,NChap2_final_00020388-RA_NChap2_final_00020388-RA,NChap2_final_00020388-RA,NChap2_final_00020388-RA,X,Y,35275070,322297178,35279995,322302124,X_TX_00020388,TX_00020388,4925,284,4946,2525
869,NChap2_final_00020389-RA_NChap2_final_00020389-RA,NChap2_final_00020389-RA,NChap2_final_00020389-RA,X,Y,35283605,322287434,35302738,322291265,X_TX_00020389,TX_00020389,19133,1,3831,538
876,NChap2_final_00020391-RA_NChap2_final_00020391-RA,NChap2_final_00020391-RA,NChap2_final_00020391-RA,X,Y,35423058,321703351,35423755,321704048,X_TX_00020391,TX_00020391,697,228,697,1912
880,NChap2_final_00020393-RA_NChap2_final_00020393-RA,NChap2_final_00020393-RA,NChap2_final_00020393-RA,X,Y,35553389,321471110,35555621,321473330,X_TX_00020393,TX_00020393,2232,2,2220,3
883,NChap2_final_00020392-RA_NChap2_final_00020392-RA,NChap2_final_00020392-RA,NChap2_final_00020392-RA,X,Y,35581786,321444893,35585012,321448118,X_TX_00020392,TX_00020392,3226,0,3225,0
885,NChap2_final_00020396-RA_NChap2_final_00020396-RA,NChap2_final_00020396-RA,NChap2_final_00020396-RA,X,Y,35613536,321409873,35617940,321414269,X_TX_00020396,TX_00020396,4404,84,4396,241
886,NChap2_final_00020397-RA_NChap2_final_00020397-RA,NChap2_final_00020397-RA,NChap2_final_00020397-RA,X,Y,35619123,321371179,35620018,321371890,X_TX_00020397,TX_00020397,895,0,711,2
890,NChap2_final_00020400-RA_NChap2_final_00020400-RA,NChap2_final_00020400-RA,NChap2_final_00020400-RA,X,Y,35841116,321274759,35843611,321277256,X_TX_00020400,TX_00020400,2495,0,2497,12
903,NChap2_final_00020406-RA_NChap2_final_00020406-RA,NChap2_final_00020406-RA,NChap2_final_00020406-RA,X,Y,35985827,486095059,35994819,486104058,X_TX_00020406,TX_00020406,8992,186,8999,734
920,NChap2_final_00020377-RA_NChap2_final_00020377-RA,NChap2_final_00020377-RA,NChap2_final_00020377-RA,X,Y,36587593,319475899,36591196,319479512,X_TX_00020377,TX_00020377,3603,6,3613,35
924,NChap2_final_00020376-RA_NChap2_final_00020376-RA,NChap2_final_00020376-RA,NChap2_final_00020376-RA,X,Y,36592079,319486849,36593063,319487833,X_TX_00020376,TX_00020376,984,0,984,0
927,NChap2_final_00020374-RA_NChap2_final_00020374-RA,NChap2_final_00020374-RA,NChap2_final_00020374-RA,X,Y,36746276,319659314,36747600,319660607,X_TX_00020374,TX_00020374,1324,0,1293,0
934,NChap2_final_00020373-RA_NChap2_final_00020373-RA,NChap2_final_00020373-RA,NChap2_final_00020373-RA,X,Y,36865237,319905350,36866306,319906418,X_TX_00020373,TX_00020373,1069,0,1068,0
937,NChap2_final_00020372-RA_NChap2_final_00020372-RA,NChap2_final_00020372-RA,NChap2_final_00020372-RA,X,Y,36940733,319953453,36944138,319956849,X_TX_00020372,TX_00020372,3405,91,3396,307
938,NChap2_final_00020371-RA_NChap2_final_00020371-RA,NChap2_final_00020371-RA,NChap2_final_00020371-RA,X,Y,36960985,320016545,36961636,320017156,X_TX_00020371,TX_00020371,651,0,611,0
939,NChap2_final_00020370-RA_NChap2_final_00020370-RA,NChap2_final_00020370-RA,NChap2_final_00020370-RA,X,Y,36963302,320021969,36966340,320032743,X_TX_00020370,TX_00020370,3038,2279,10774,6029
943,NChap2_final_00020366-RA_NChap2_final_00020366-RA,NChap2_final_00020366-RA,NChap2_final_00020366-RA,X,Y,37060447,320135980,37062664,320143585,X_TX_00020366,TX_00020366,2217,57,7605,58
958,NChap2_final_00020363-RA_NChap2_final_00020363-RA,NChap2_final_00020363-RA,NChap2_final_00020363-RA,X,Y,37275811,320427061,37276757,320428002,X_TX_00020363,TX_00020363,946,0,941,0
962,NChap2_final_00020362-RA_NChap2_final_00020362-RA,NChap2_final_00020362-RA,NChap2_final_00020362-RA,X,Y,37295323,320435871,37304317,320445257,X_TX_00020362,TX_00020362,8994,801,9386,690
966,NChap2_final_00020360-RA_NChap2_final_00020360-RA,NChap2_final_00020360-RA,NChap2_final_00020360-RA,X,Y,37335897,320481697,37336435,320482234,X_TX_00020360,TX_00020360,538,0,537,0
984,NChap2_final_00020358-RA_NChap2_final_00020358-RA,NChap2_final_00020358-RA,NChap2_final_00020358-RA,X,Y,37547931,320821748,37548917,320830430,X_TX_00020358,TX_00020358,986,0,8682,25
987,NChap2_final_00020357-RA_NChap2_final_00020357-RA,NChap2_final_00020357-RA,NChap2_final_00020357-RA,X,Y,37587511,320862108,37588190,320862788,X_TX_00020357,TX_00020357,679,0,680,0
988,NChap2_final_00020356-RA_NChap2_final_00020356-RA,NChap2_final_00020356-RA,NChap2_final_00020356-RA,X,Y,37591949,320899595,37595805,320903529,X_TX_00020356,TX_00020356,3856,156,3934,636
990,NChap2_final_00020355-RA_NChap2_final_00020355-RA,NChap2_final_00020355-RA,NChap2_final_00020355-RA,X,Y,37645459,320933223,37648809,320936585,X_TX_00020355,TX_00020355,3350,112,3362,234
992,NChap2_final_00020354-RA_NChap2_final_00020354-RA,NChap2_final_00020354-RA,NChap2_final_00020354-RA,X,Y,37738413,321014883,37740078,321016545,X_TX_00020354,TX_00020354,1665,55,1662,523
997,NChap2_final_00020352-RA_NChap2_final_00020352-RA,NChap2_final_00020352-RA,NChap2_final_00020352-RA,X,Y,37847956,321156952,37851415,321160373,X_TX_00020352,TX_00020352,3459,423,3421,10904
1002,NChap2_final_00020351-RA_NChap2_final_00020351-RA,NChap2_final_00020351-RA,NChap2_final_00020351-RA,X,Y,37902591,486283064,37908827,486299325,X_TX_00020351,TX_00020351,6236,607,16261,630
1010,NChap2_final_00020350-RA_NChap2_final_00020350-RA,NChap2_final_00020350-RA,NChap2_final_00020350-RA,X,Y,37967563,486448996,37968766,486450193,X_TX_00020350,TX_00020350,1203,0,1197,0
1012,NChap2_final_00020349-RA_NChap2_final_00020349-RA,NChap2_final_00020349-RA,NChap2_final_00020349-RA,X,Y,37981605,486456772,37982700,486457867,X_TX_00020349,TX_00020349,1095,699,1095,107
1015,NChap2_final_00020348-RA_NChap2_final_00020348-RA,NChap2_final_00020348-RA,NChap2_final_00020348-RA,X,Y,38008293,486474963,38009340,486476052,X_TX_00020348,TX_00020348,1047,0,1089,0
1018,NChap2_final_00020346-RA_NChap2_final_00020346-RA,NChap2_final_00020346-RA,NChap2_final_00020346-RA,X,Y,38077354,486556769,38084690,486563967,X_TX_00020346,TX_00020346,7336,1181,7198,2795
1019,NChap2_final_00020345-RA_NChap2_final_00020345-RA,NChap2_final_00020345-RA,NChap2_final_00020345-RA,X,Y,38084565,486563842,38090229,486570275,X_TX_00020345,TX_00020345,5664,611,6433,706
1023,NChap2_final_00020344-RA_NChap2_final_00020344-RA,NChap2_final_00020344-RA,NChap2_final_00020344-RA,X,Y,38108158,486581751,38110123,486583739,X_TX_00020344,TX_00020344,1965,87,1988,193
1027,NChap2_final_00020343-RA_NChap2_final_00020343-RA,NChap2_final_00020343-RA,NChap2_final_00020343-RA,X,Y,38111926,486585266,38116108,486589693,X_TX_00020343,TX_00020343,4182,321,4427,263
1028,NChap2_final_00020342-RA_NChap2_final_00020342-RA,NChap2_final_00020342-RA,NChap2_final_00020342-RA,X,Y,38116430,486590018,38120054,486593696,X_TX_00020342,TX_00020342,3624,119,3678,180
1031,NChap2_final_00020943-RA_NChap2_final_00020943-RA,NChap2_final_00020943-RA,NChap2_final_00020943-RA,X,Y,38254289,501605356,38262122,501613975,X_TX_00020943,TX_00020943,7833,1870,8619,2156
1034,NChap2_final_00020942-RA_NChap2_final_00020942-RA,NChap2_final_00020942-RA,NChap2_final_00020942-RA,X,Y,38289499,501660678,38298340,501669453,X_TX_00020942,TX_00020942,8841,206,8775,304
1035,NChap2_final_00020941-RA_NChap2_final_00020941-RA,NChap2_final_00020941-RA,NChap2_final_00020941-RA,X,Y,38301723,501672863,38307260,501678399,X_TX_00020941,TX_00020941,5537,149,5536,349
1038,NChap2_final_00020940-RA_NChap2_final_00020940-RA,NChap2_final_00020940-RA,NChap2_final_00020940-RA,X,Y,38346989,501901232,38348363,501902606,X_TX_00020940,TX_00020940,1374,0,1374,0
