pairID,id_tx_mat,id_tx_pat,chr_tx_mat,chr_tx_pat,start_tx_mat,start_tx_pat,end_tx_mat,end_tx_pat,length.mat,Rh_02.mat,length.pat,Rh_02.pat
TX_maternal_00016674_TX_paternal_00022797,TX_maternal_00016674,TX_paternal_00022797,X,Y,34457220,323047622,34457874,323048277,453,0,454,0
TX_maternal_00016678_TX_paternal_00022793,TX_maternal_00016678,TX_paternal_00022793,X,Y,34882893,322584707,34892895,322591254,1868,21,1787,55
TX_maternal_00016681_TX_paternal_00022791,TX_maternal_00016681,TX_paternal_00022791,X,Y,34902887,322569164,34904132,322570451,457,90,462,367
TX_maternal_00016685_TX_paternal_00022789,TX_maternal_00016685,TX_paternal_00022789,X,Y,35097600,322555097,35100692,322557971,2262,244,2129,158
TX_maternal_00016686_TX_paternal_00022785,TX_maternal_00016686,TX_paternal_00022785,X,Y,35205260,322425423,35210773,322430923,1476,136,1491,1086
TX_maternal_00016688_TX_paternal_00022784,TX_maternal_00016688,TX_paternal_00022784,X,Y,35248867,322385791,35250916,322387833,909,0,949,6
TX_maternal_00016690_TX_paternal_00022783,TX_maternal_00016690,TX_paternal_00022783,X,Y,35275070,322296409,35280765,322302124,2374,281,2378,2525
TX_maternal_00016691_TX_paternal_00022781,TX_maternal_00016691,TX_paternal_00022781,X,Y,35284005,322284705,35302813,322291089,441,0,1342,755
TX_maternal_00016692_TX_paternal_00022779,TX_maternal_00016692,TX_paternal_00022779,X,Y,35418694,321703272,35423834,321706593,579,238,669,1987
TX_maternal_00016694_TX_paternal_00022778,TX_maternal_00016694,TX_paternal_00022778,X,Y,35553389,321471110,35555621,321473330,1620,2,1620,3
TX_maternal_00016696_TX_paternal_00022777,TX_maternal_00016696,TX_paternal_00022777,X,Y,35613540,321409971,35617845,321414702,884,84,738,231
TX_maternal_00016700_TX_paternal_00024039,TX_maternal_00016700,TX_paternal_00024039,X,Y,35979006,486106630,35983262,486110632,1382,80,1381,199
TX_maternal_00016701_TX_paternal_00024037,TX_maternal_00016701,TX_paternal_00024037,X,Y,35985831,486095384,35994502,486104054,3766,182,3766,729
TX_maternal_00016705_TX_paternal_00022744,TX_maternal_00016705,TX_paternal_00022744,X,Y,36527150,319406507,36529659,319410717,775,635,873,892
TX_maternal_00016706_TX_paternal_00022746,TX_maternal_00016706,TX_paternal_00022746,X,Y,36586229,319475899,36591196,319479512,2490,6,2537,33
TX_maternal_00016707_TX_paternal_00022748,TX_maternal_00016707,TX_paternal_00022748,X,Y,36940733,319953453,36944063,319956774,1271,82,1271,284
TX_maternal_00016709_TX_paternal_00022749,TX_maternal_00016709,TX_paternal_00022749,X,Y,36963298,320029583,36966308,320032711,1227,2224,1227,5909
TX_maternal_00016714_TX_paternal_00022755,TX_maternal_00016714,TX_paternal_00022755,X,Y,37178837,320306244,37183849,320307825,927,187,717,4
TX_maternal_00016717_TX_paternal_00022758,TX_maternal_00016717,TX_paternal_00022758,X,Y,37295329,320435886,37304354,320445294,2244,781,2229,662
TX_maternal_00016718_TX_paternal_00022759,TX_maternal_00016718,TX_paternal_00022759,X,Y,37332217,320461192,37336537,320470469,1461,1006,1179,51
TX_maternal_00016720_TX_paternal_00022762,TX_maternal_00016720,TX_paternal_00022762,X,Y,37376027,320535595,37384571,320545314,1179,140,637,278
TX_maternal_00016724_TX_paternal_00022765,TX_maternal_00016724,TX_paternal_00022765,X,Y,37591582,320899719,37595805,320903884,1853,155,1530,553
TX_maternal_00016725_TX_paternal_00022766,TX_maternal_00016725,TX_paternal_00022766,X,Y,37642773,320924280,37644844,320928054,330,33,615,3023
TX_maternal_00016726_TX_paternal_00022767,TX_maternal_00016726,TX_paternal_00022767,X,Y,37645459,320931922,37648490,320939249,1608,112,2151,229
TX_maternal_00016730_TX_paternal_00022770,TX_maternal_00016730,TX_paternal_00022770,X,Y,37738417,321014887,37742583,321022222,785,48,983,515
TX_maternal_00016733_TX_paternal_00022774,TX_maternal_00016733,TX_paternal_00022774,X,Y,37846747,321156952,37851415,321161688,1155,224,1116,10502
TX_maternal_00016734_TX_paternal_00024045,TX_maternal_00016734,TX_paternal_00024045,X,Y,37901065,486283291,37908432,486288612,2157,589,1551,601
TX_maternal_00016737_TX_paternal_00024051,TX_maternal_00016737,TX_paternal_00024051,X,Y,37979474,486454636,37983406,486458568,2188,719,2116,497
TX_maternal_00016739_TX_paternal_00024054,TX_maternal_00016739,TX_paternal_00024054,X,Y,38070270,486556769,38080590,486560027,620,807,613,2137
TX_maternal_00016740_TX_paternal_00024055,TX_maternal_00016740,TX_paternal_00024055,X,Y,38081545,486560891,38083963,486563240,1440,322,1440,429
TX_maternal_00016741_TX_paternal_00024056,TX_maternal_00016741,TX_paternal_00024056,X,Y,38084640,486563917,38088804,486570348,1198,617,1381,878
TX_maternal_00016742_TX_paternal_00024057,TX_maternal_00016742,TX_paternal_00024057,X,Y,38108158,486581751,38110061,486583676,485,82,485,183
TX_maternal_00016743_TX_paternal_00024058,TX_maternal_00016743,TX_paternal_00024058,X,Y,38111863,486585203,38116108,486589693,1492,320,1492,258
TX_maternal_00016744_TX_paternal_00024059,TX_maternal_00016744,TX_paternal_00024059,X,Y,38116588,486590176,38119817,486593454,1723,109,1712,175
TX_maternal_00016746_TX_paternal_00024415,TX_maternal_00016746,TX_paternal_00024415,X,Y,38254354,501605421,38262122,501613975,3085,1865,3031,2128
TX_maternal_00016747_TX_paternal_00024418,TX_maternal_00016747,TX_paternal_00024418,X,Y,38289471,501660650,38298167,501669288,2060,196,2066,291
TX_maternal_00016748_TX_paternal_00024419,TX_maternal_00016748,TX_paternal_00024419,X,Y,38302049,501673181,38306427,501709365,1240,139,937,199
TX_maternal_00016750_TX_paternal_00024427,TX_maternal_00016750,TX_paternal_00024427,X,Y,38450273,501972545,38452992,501974982,1372,898,883,687
TX_maternal_00016751_TX_paternal_00024432,TX_maternal_00016751,TX_paternal_00024432,X,Y,38582821,502169504,38584488,502171179,941,0,980,2
TX_maternal_00016752_TX_paternal_00024433,TX_maternal_00016752,TX_paternal_00024433,X,Y,38585169,502171848,38602979,502187819,5517,1059,5493,2060
TX_maternal_00016753_TX_paternal_00024434,TX_maternal_00016753,TX_paternal_00024434,X,Y,38646524,502231351,38657068,502241952,2020,191,2040,403
TX_maternal_00016756_TX_paternal_00024435,TX_maternal_00016756,TX_paternal_00024435,X,Y,38760530,502383150,38763323,502385943,1370,426,1370,562
TX_maternal_00016761_TX_paternal_00024092,TX_maternal_00016761,TX_paternal_00024092,X,Y,38882731,487807602,38883758,487808660,725,24,726,16
TX_maternal_00016762_TX_paternal_00024093,TX_maternal_00016762,TX_paternal_00024093,X,Y,38884287,487809189,38888033,487812461,2079,18,2170,195
TX_maternal_00016765_TX_paternal_00024095,TX_maternal_00016765,TX_paternal_00024095,X,Y,38915074,487848292,38937937,487870709,4170,1988,4345,3826
TX_maternal_00016767_TX_paternal_00024096,TX_maternal_00016767,TX_paternal_00024096,X,Y,39157575,488097274,39162874,488102533,1040,1087,1017,917
TX_maternal_00016769_TX_paternal_00024098,TX_maternal_00016769,TX_paternal_00024098,X,Y,39244785,488176495,39245975,488177686,390,0,390,0
TX_maternal_00016770_TX_paternal_00024099,TX_maternal_00016770,TX_paternal_00024099,X,Y,39343386,488286017,39344205,488286835,291,0,291,1
TX_maternal_00016771_TX_paternal_00024100,TX_maternal_00016771,TX_paternal_00024100,X,Y,39369059,488318785,39381383,488324579,1473,30,474,32
TX_maternal_00016772_TX_paternal_00024102,TX_maternal_00016772,TX_paternal_00024102,X,Y,39392638,488359082,39399723,488366091,570,266,570,508
TX_maternal_00016773_TX_paternal_00024103,TX_maternal_00016773,TX_paternal_00024103,X,Y,39519184,488409784,39520141,488410741,876,0,876,0
TX_maternal_00016775_TX_paternal_00024104,TX_maternal_00016775,TX_paternal_00024104,X,Y,39548364,488457458,39558453,488467083,2690,544,2675,677
TX_maternal_00016777_TX_paternal_00024105,TX_maternal_00016777,TX_paternal_00024105,X,Y,39590529,488495113,39593721,488498305,1650,279,1650,1717
TX_maternal_00016778_TX_paternal_00024106,TX_maternal_00016778,TX_paternal_00024106,X,Y,39594426,488499192,39595691,488499980,739,0,415,1
TX_maternal_00016780_TX_paternal_00024108,TX_maternal_00016780,TX_paternal_00024108,X,Y,39622075,488508293,39632168,488511402,1557,38,1439,825
TX_maternal_00016781_TX_paternal_00024109,TX_maternal_00016781,TX_paternal_00024109,X,Y,39632333,488512302,39635256,488515235,678,19,684,253
TX_maternal_00016793_TX_paternal_00024111,TX_maternal_00016793,TX_paternal_00024111,X,Y,40402742,488580976,40405863,488583430,822,0,936,0
TX_maternal_00016786_TX_paternal_00024116,TX_maternal_00016786,TX_paternal_00024116,X,Y,39734292,488639349,39738897,488643956,3261,1124,3276,4211
TX_maternal_00016787_TX_paternal_00024117,TX_maternal_00016787,TX_paternal_00024117,X,Y,39890405,488853865,39892228,488855688,969,0,987,0
TX_maternal_00016788_TX_paternal_00024118,TX_maternal_00016788,TX_paternal_00024118,X,Y,39893014,488856474,39894227,488857692,722,1,722,0
TX_maternal_00016789_TX_paternal_00024119,TX_maternal_00016789,TX_paternal_00024119,X,Y,39912659,488875216,39922389,488884219,2412,149,2310,53
TX_maternal_00016790_TX_paternal_00024121,TX_maternal_00016790,TX_paternal_00024121,X,Y,40135049,489217109,40136724,489220931,1201,0,2896,0
TX_maternal_00016791_TX_paternal_00024122,TX_maternal_00016791,TX_paternal_00024122,X,Y,40337805,489334370,40360318,489335796,1074,434,736,500
TX_maternal_00016792_TX_paternal_00024123,TX_maternal_00016792,TX_paternal_00024123,X,Y,40383395,489393476,40384308,489397527,489,5,423,18
TX_maternal_00016797_TX_paternal_00024124,TX_maternal_00016797,TX_paternal_00024124,X,Y,40442383,489407175,40449634,489414471,2945,445,3006,392
TX_maternal_00016807_TX_paternal_00024127,TX_maternal_00016807,TX_paternal_00024127,X,Y,40900533,489599947,40905352,489606184,1636,59,2460,16
TX_maternal_00016811_TX_paternal_00024128,TX_maternal_00016811,TX_paternal_00024128,X,Y,41157851,489766224,41160681,489769037,1428,31,1161,100
TX_maternal_00016815_TX_paternal_00024131,TX_maternal_00016815,TX_paternal_00024131,X,Y,41271077,489869080,41273745,489871570,1056,0,870,0
TX_maternal_00016816_TX_paternal_00024134,TX_maternal_00016816,TX_paternal_00024134,X,Y,41360499,489957444,41364171,489960968,3100,19,2712,18
TX_maternal_00016820_TX_paternal_00024135,TX_maternal_00016820,TX_paternal_00024135,X,Y,41371403,489983164,41371988,489983616,550,5,417,8
TX_maternal_00016822_TX_paternal_00024137,TX_maternal_00016822,TX_paternal_00024137,X,Y,41470555,490059901,41476712,490064060,1394,168,1086,329
TX_maternal_00016823_TX_paternal_00024140,TX_maternal_00016823,TX_paternal_00024140,X,Y,41514012,490107956,41523721,490112676,4019,364,2691,517
TX_maternal_00016824_TX_paternal_00024141,TX_maternal_00016824,TX_paternal_00024141,X,Y,41523756,490114850,41529383,490124411,2723,133,3204,1145
TX_maternal_00016829_TX_paternal_00024145,TX_maternal_00016829,TX_paternal_00024145,X,Y,41710859,490265273,41711671,490266086,304,0,346,0
TX_maternal_00016830_TX_paternal_00024146,TX_maternal_00016830,TX_paternal_00024146,X,Y,41717316,490281502,41725088,490290599,1187,7,1281,20
TX_maternal_00016831_TX_paternal_00024148,TX_maternal_00016831,TX_paternal_00024148,X,Y,41836256,490440237,41840663,490444643,1173,0,1263,303
TX_maternal_00016832_TX_paternal_00024149,TX_maternal_00016832,TX_paternal_00024149,X,Y,41886554,490485028,41891134,490489124,2771,0,1373,0
TX_maternal_00016833_TX_paternal_00024152,TX_maternal_00016833,TX_paternal_00024152,X,Y,41948021,490584729,41949512,490587158,909,16,1173,144
TX_maternal_00016835_TX_paternal_00024153,TX_maternal_00016835,TX_paternal_00024153,X,Y,41998583,490636674,42000896,490639060,537,0,603,0
TX_maternal_00016836_TX_paternal_00024155,TX_maternal_00016836,TX_paternal_00024155,X,Y,42085367,490730383,42100504,490751412,2231,0,2004,0
TX_maternal_00016837_TX_paternal_00024156,TX_maternal_00016837,TX_paternal_00024156,X,Y,42103666,490754724,42109042,490757563,1986,0,1644,0
TX_maternal_00016840_TX_paternal_00024157,TX_maternal_00016840,TX_paternal_00024157,X,Y,42141008,490790505,42145615,490795112,2382,29,2378,205
TX_maternal_00016841_TX_paternal_00024158,TX_maternal_00016841,TX_paternal_00024158,X,Y,42153717,490810607,42159236,490816237,2863,39,2787,568
TX_maternal_00016844_TX_paternal_00024168,TX_maternal_00016844,TX_paternal_00024168,X,Y,42383997,491170658,42390039,491176740,1435,49,1435,334
TX_maternal_00016846_TX_paternal_00024171,TX_maternal_00016846,TX_paternal_00024171,X,Y,42436463,491239712,42439894,491243167,1674,4479,1707,13696
TX_maternal_00016847_TX_paternal_00024172,TX_maternal_00016847,TX_paternal_00024172,X,Y,42441979,491245299,42451472,491254781,2365,207,2468,254
TX_maternal_00016849_TX_paternal_00024173,TX_maternal_00016849,TX_paternal_00024173,X,Y,42470292,491266605,42474330,491269585,756,834,754,620
TX_maternal_00016852_TX_paternal_00024177,TX_maternal_00016852,TX_paternal_00024177,X,Y,42631504,491446590,42633582,491448663,1180,476,1180,708
TX_maternal_00016854_TX_paternal_00024181,TX_maternal_00016854,TX_paternal_00024181,X,Y,42755681,491585692,42770922,491595523,2739,310,2718,618
TX_maternal_00016855_TX_paternal_00024182,TX_maternal_00016855,TX_paternal_00024182,X,Y,42778982,491603435,42784612,491613643,968,477,1059,446
TX_maternal_00016857_TX_paternal_00024183,TX_maternal_00016857,TX_paternal_00024183,X,Y,42984156,491634554,42985512,491637199,597,355,1329,91
TX_maternal_00016858_TX_paternal_00024185,TX_maternal_00016858,TX_paternal_00024185,X,Y,42999263,491645044,43003183,491649196,884,281,1097,447
TX_maternal_00016860_TX_paternal_00024190,TX_maternal_00016860,TX_paternal_00024190,X,Y,43185985,491769668,43188759,491772537,1052,156,1107,742
TX_maternal_00016863_TX_paternal_00024192,TX_maternal_00016863,TX_paternal_00024192,X,Y,43394829,491871956,43397788,491891517,936,0,1068,3
TX_maternal_00016867_TX_paternal_00024194,TX_maternal_00016867,TX_paternal_00024194,X,Y,43425139,491923045,43456429,491924469,741,3,534,0
TX_maternal_00016868_TX_paternal_00024195,TX_maternal_00016868,TX_paternal_00024195,X,Y,43474088,492014741,43477324,492019103,1183,0,1129,0
TX_maternal_00016874_TX_paternal_00024199,TX_maternal_00016874,TX_paternal_00024199,X,Y,43949003,492423852,43951953,492426588,600,0,549,0
TX_maternal_00016875_TX_paternal_00024200,TX_maternal_00016875,TX_paternal_00024200,X,Y,44025984,492485923,44028603,492488564,980,56,980,173
TX_maternal_00016876_TX_paternal_00024202,TX_maternal_00016876,TX_paternal_00024202,X,Y,44054885,492644267,44057612,492646856,1485,63,1281,133
TX_maternal_00016877_TX_paternal_00024203,TX_maternal_00016877,TX_paternal_00024203,X,Y,44207829,492790789,44210889,492794280,1411,476,1414,689
TX_maternal_00016878_TX_paternal_00024204,TX_maternal_00016878,TX_paternal_00024204,X,Y,44212518,492795930,44215850,492799362,1188,51,1099,173
TX_maternal_00016880_TX_paternal_00024205,TX_maternal_00016880,TX_paternal_00024205,X,Y,44268319,492888222,44274660,492890385,1593,0,1578,0
TX_maternal_00016881_TX_paternal_00024206,TX_maternal_00016881,TX_paternal_00024206,X,Y,44420344,492930609,44425146,492936151,2419,254,2427,871
TX_maternal_00016882_TX_paternal_00024207,TX_maternal_00016882,TX_paternal_00024207,X,Y,44443517,492948141,44445367,492949350,615,1173,576,2870
TX_maternal_00016883_TX_paternal_00024208,TX_maternal_00016883,TX_paternal_00024208,X,Y,44466452,492960668,44477591,492963070,1401,1418,1161,3255
